"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANGALLO (000)",32275,7584,933,15045,7168,416,645,151,333
"Jefe o Jefa (001)",9828,2661,13,4287,2125,171,323,53,195
"Esposa(o)/ compa¤era(o) (002)",5314,1962,10,2389,747,38,135,7,26
"Hijo(a)/ hijastro(a) (003)",13577,2005,766,6808,3586,152,131,73,56
"Yerno/ nuera (004)",279,9,2,112,130,5,11,2,8
"Nieto(a) (005)",1116,268,87,571,176,7,2,5,
"Padres/ suegros (006)",405,346,,53,4,,,,2
"Otro(a) pariente (007)",1505,307,54,747,326,28,21,7,15
"Trabajador(a) del hogar (008)",12,3,,5,4,,,,
"Pensionista (009)",3,,,1,1,,,,1
"Otro(a) no pariente (010)",236,23,1,72,69,15,22,4,30
"Hombres (012)",15350,2118,457,7348,4471,270,348,109,229
"Jefe o Jefa (013)",6357,812,4,3155,1803,140,240,46,157
"Esposa(o)/ compa¤era(o) (014)",337,41,,140,129,7,17,1,2
"Hijo(a)/ hijastro(a) (015)",6956,966,384,3265,2104,88,58,49,42
"Yerno/ nuera (016)",102,3,,30,53,3,7,1,5
"Nieto(a) (017)",553,130,43,270,100,4,2,4,
"Padres/ suegros (018)",86,43,,37,4,,,,2
"Otro(a) pariente (019)",802,113,26,401,225,18,12,4,3
"Trabajador(a) del hogar (020)",4,1,,2,1,,,,
"Pensionista (021)",1,,,,1,,,,
"Otro(a) no pariente (022)",152,9,,48,51,10,12,4,18
"Mujeres (024)",16925,5466,476,7697,2697,146,297,42,104
"Jefe o Jefa (025)",3471,1849,9,1132,322,31,83,7,38
"Esposa(o)/ compa¤era(o) (026)",4977,1921,10,2249,618,31,118,6,24
"Hijo(a)/ hijastro(a) (027)",6621,1039,382,3543,1482,64,73,24,14
"Yerno/ nuera (028)",177,6,2,82,77,2,4,1,3
"Nieto(a) (029)",563,138,44,301,76,3,,1,
"Padres/ suegros (030)",319,303,,16,,,,,
"Otro(a) pariente (031)",703,194,28,346,101,10,9,3,12
"Trabajador(a) del hogar (032)",8,2,,3,3,,,,
"Pensionista (033)",2,,,1,,,,,1
"Otro(a) no pariente (034)",84,14,1,24,18,5,10,,12
,,,,,,,,,
"URBANA (036)",11101,2119,325,4672,2909,257,459,110,250
"Jefe o Jefa (037)",3376,672,3,1298,875,108,235,35,150
"Esposa(o)/ compa¤era(o) (038)",1792,554,4,742,328,25,111,7,21
"Hijo(a)/ hijastro(a) (039)",4635,581,258,2140,1393,87,76,56,44
"Yerno/ nuera (040)",106,1,1,28,56,3,8,2,7
"Nieto(a) (041)",390,87,35,183,78,2,1,4,
"Padres/ suegros (042)",144,120,,19,3,,,,2
"Otro(a) pariente (043)",551,95,23,239,142,22,15,5,10
"Trabajador(a) del hogar (044)",7,2,,2,3,,,,
"Pensionista (045)",2,,,,1,,,,1
"Otro(a) no pariente (046)",98,7,1,21,30,10,13,1,15
"Hombres (048)",5307,568,162,2256,1695,157,229,77,163
"Jefe o Jefa (049)",2218,181,1,938,695,83,172,31,117
