"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BAGUA (000)",66276,10015,1938,30469,17126,1976,2492,775,1485
"Quechua (001)",131,12,1,73,28,3,5,2,7
"Aymara (002)",15,1,,11,,,1,1,1
"Ashaninca (003)",16,1,,12,2,,1,,
"Otra lengua nativa (004)",16108,3905,456,8638,2648,188,207,26,40
"Castellano (005)",49881,6004,1478,21713,14443,1785,2278,746,1434
"Idioma extranjero (006)",3,,,,,,,,3
"Es sordomudo/a (007)",122,92,3,22,5,,,,
"Hombres (009)",33882,3926,999,15685,9808,1004,1238,405,817
"Quechua (010)",87,5,,46,24,1,4,2,5
"Aymara (011)",6,,,4,,,1,,1
"Ashaninca (012)",4,,,2,1,,1,,
"Otra lengua nativa (013)",8169,1594,233,4189,1785,145,173,18,32
"Castellano (014)",25548,2278,764,11432,7995,858,1059,385,777
"Idioma extranjero (015)",2,,,,,,,,2
"Es sordomudo/a (016)",66,49,2,12,3,,,,
"Mujeres (018)",32394,6089,939,14784,7318,972,1254,370,668
"Quechua (019)",44,7,1,27,4,2,1,,2
"Aymara (020)",9,1,,7,,,,1,
"Ashaninca (021)",12,1,,10,1,,,,
"Otra lengua nativa (022)",7939,2311,223,4449,863,43,34,8,8
"Castellano (023)",24333,3726,714,10281,6448,927,1219,361,657
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",56,43,1,10,2,,,,
,,,,,,,,,
"URBANA (027)",31513,3035,825,11383,10393,1662,2168,703,1344
"Quechua (028)",79,5,1,39,20,3,3,2,6
"Aymara (029)",7,,,5,,,1,1,
"Ashaninca (030)",7,1,,4,2,,,,
"Otra lengua nativa (031)",1325,173,54,492,451,66,67,8,14
"Castellano (032)",30047,2824,769,10834,9916,1593,2097,692,1322
"Idioma extranjero (033)",2,,,,,,,,2
"Es sordomudo/a (034)",46,32,1,9,4,,,,
"Hombres (036)",15692,1130,425,5729,5502,813,1009,352,732
"Quechua (037)",54,2,,26,17,1,2,2,4
"Aymara (038)",2,,,1,,,1,,
"Ashaninca (039)",2,,,1,1,,,,
"Otra lengua nativa (040)",671,53,33,224,242,50,52,6,11
"Castellano (041)",14935,1055,391,5473,5240,762,954,344,716
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",27,20,1,4,2,,,,
"Mujeres (045)",15821,1905,400,5654,4891,849,1159,351,612
"Quechua (046)",25,3,1,13,3,2,1,,2
"Aymara (047)",5,,,4,,,,1,
"Ashaninca (048)",5,1,,3,1,,,,
"Otra lengua nativa (049)",654,120,21,268,209,16,15,2,3
"Castellano (050)",15112,1769,378,5361,4676,831,1143,348,606
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",19,12,,5,2,,,,
,,,,,,,,,
"RURAL (054)",34763,6980,1113,19086,6733,314,324,72,141
"Quechua (055)",52,7,,34,8,,2,,1
"Aymara (056)",8,1,,6,,,,,1
"Ashaninca (057)",9,,,8,,,1,,
"Otra lengua nativa (058)",14783,3732,402,8146,2197,122,140,18,26
"Castellano (059)",19834,3180,709,10879,4527,192,181,54,112
"Idioma extranjero (060)",1,,,,,,,,1
"Es sordomudo/a (061)",76,60,2,13,1,,,,
"Hombres (063)",18190,2796,574,9956,4306,191,229,53,85
"Quechua (064)",33,3,,20,7,,2,,1
"Aymara (065)",4,,,3,,,,,1
"Ashaninca (066)",2,,,1,,,1,,
"Otra lengua nativa (067)",7498,1541,200,3965,1543,95,121,12,21
"Castellano (068)",10613,1223,373,5959,2755,96,105,41,61
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",39,29,1,8,1,,,,
"Mujeres (072)",16573,4184,539,9130,2427,123,95,19,56
"Quechua (073)",19,4,,14,1,,,,
"Aymara (074)",4,1,,3,,,,,
"Ashaninca (075)",7,,,7,,,,,
"Otra lengua nativa (076)",7285,2191,202,4181,654,27,19,6,5
"Castellano (077)",9221,1957,336,4920,1772,96,76,13,51
"Es sordomudo/a (079)",37,31,1,5,,,,,
