"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia URUBAMBA (000)",20840,19099,5736,2462,2483,2008,2870,1874,1007,659,1741,54127
"De 12 a 14 años (001)",2055,2045,2035,7,3,,,,,,10,13
"De 15 a 19 años (002)",2709,2655,2433,201,14,3,4,,,,54,254
"De 20 a 24 años (003)",2282,1852,743,733,298,59,16,3,,,430,1594
"De 25 a 29 años (004)",2340,1751,141,589,578,284,137,18,4,,589,3315
"De 30 a 34 años (005)",1970,1811,72,359,546,380,362,77,9,6,159,4780
"De 35 a 39 años (006)",1842,1742,46,185,387,376,509,181,51,7,100,5966
"De 40 a 44 años (007)",1575,1526,39,88,186,311,490,276,98,38,49,6550
"De 45 a 49 años (008)",1312,1259,40,76,136,196,333,269,150,59,53,6060
"De 50 y más años (009)",4755,4458,187,224,335,399,1019,1050,695,549,297,25595
"PEA (010)",6436,5848,945,1211,1089,781,907,526,253,136,588,16738
"De 12 a 14 años (011)",68,68,66,1,1,,,,,,,3
"De 15 a 19 años (012)",420,407,339,62,6,,,,,,13,74
"De 20 a 24 años (013)",942,752,307,334,93,9,8,1,,,190,588
"De 25 a 29 años (014)",948,737,85,319,212,85,29,5,2,,211,1166
"De 30 a 34 años (015)",858,782,45,210,260,150,96,18,1,2,76,1746
"De 35 a 39 años (016)",815,779,22,111,227,166,184,59,9,1,36,2318
"De 40 a 44 años (017)",659,640,16,51,106,154,185,90,27,11,19,2449
"De 45 a 49 años (018)",576,562,17,47,68,106,148,106,59,11,14,2443
"De 50 y más años (019)",1150,1121,48,76,116,111,257,247,155,111,29,5951
"Ocupada (020)",6283,5714,908,1166,1067,769,895,522,251,136,569,16520
"De 12 a 14 años (021)",65,65,63,1,1,,,,,,,3
