"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia PAITA",,,,,,
"Viviendas particulares (001)",24305,23069,1066,148,20,2
"Ocupantes presentes (002)",107818,97210,8603,1675,299,31
"Casa independiente",,,,,,
"Viviendas particulares (004)",24126,22895,1063,147,19,2
"Ocupantes presentes (005)",107208,96647,8578,1666,286,31
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",38,36,1,1,,
"Ocupantes presentes (008)",127,113,5,9,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",14,14,,,,
"Ocupantes presentes (011)",41,41,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",20,19,,,1,
"Ocupantes presentes (014)",123,110,,,13,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",4,4,,,,
"Ocupantes presentes (017)",24,24,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",73,72,1,,,
"Ocupantes presentes (020)",215,211,4,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",22,21,1,,,
"Ocupantes presentes (023)",55,39,16,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",8,8,,,,
"Ocupantes presentes (026)",25,25,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",23213,22010,1038,143,20,2
"Ocupantes presentes (029)",102971,92640,8387,1614,299,31
"Casa independiente",,,,,,
"Viviendas particulares (031)",23040,21842,1035,142,19,2
"Ocupantes presentes (032)",102388,92104,8362,1605,286,31
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",38,36,1,1,,
"Ocupantes presentes (035)",127,113,5,9,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",14,14,,,,
"Ocupantes presentes (038)",41,41,,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",20,19,,,1,
"Ocupantes presentes (041)",123,110,,,13,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",73,72,1,,,
"Ocupantes presentes (047)",215,211,4,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",20,19,1,,,
"Ocupantes presentes (050)",52,36,16,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",8,8,,,,
"Ocupantes presentes (053)",25,25,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",1092,1059,28,5,,
"Ocupantes presentes (056)",4847,4570,216,61,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",1086,1053,28,5,,
"Ocupantes presentes (059)",4820,4543,216,61,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",4,4,,,,
"Ocupantes presentes (071)",24,24,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",2,2,,,,
"Ocupantes presentes (077)",3,3,,,,
"Otro tipo",,,,,,
