"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CHINCHA (000)",44940,34098,10842
"Red pública dentro de la vivienda (001)",28190,24663,3527
"Red pública fuera de la vivienda (002)",3601,2726,875
"Pilón de uso público (003)",1622,755,867
"Camión - cisterna u otro similar (004)",3175,1885,1290
"Pozo (005)",3182,1871,1311
"Río, acequia, manatial o similar (006)",910,223,687
"Vecino (007)",3407,1574,1833
"Otro (008)",853,401,452
,,,
"URBANA (010)",39490,30768,8722
"Red pública dentro de la vivienda (011)",27412,23963,3449
"Red pública fuera de la vivienda (012)",3249,2417,832
"Pilón de uso público (013)",1183,480,703
"Camión - cisterna u otro similar (014)",2422,1368,1054
"Pozo (015)",1014,582,432
"Río, acequia, manatial o similar (016)",160,91,69
"Vecino (017)",3250,1494,1756
"Otro (018)",800,373,427
,,,
"RURAL (020)",5450,3330,2120
"Red pública dentro de la vivienda (021)",778,700,78
"Red pública fuera de la vivienda (022)",352,309,43
"Pilón de uso público (023)",439,275,164
"Camión - cisterna u otro similar (024)",753,517,236
"Pozo (025)",2168,1289,879
"Río, acequia, manatial o similar (026)",750,132,618
"Vecino (027)",157,80,77
"Otro (028)",53,28,25
