"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OXAPAMPA (000)",33010,1136,12010,11118,7004,1742
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",66,,8,31,22,5
"Profes., científicos e intelectuales (002)",1945,,471,1063,397,14
"Técnicos de nivel medio y trab.asimilados (003)",874,3,286,370,189,26
"Jefes y empleados de oficina (004)",602,,256,244,98,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2843,44,846,1172,666,115
"Agricult.trabaj. calif. agrop. y pesqueros (006)",10510,,2824,3680,2963,1043
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1478,20,525,538,346,49
"Obreros construc., conf., papel, fab., instr. (008)",1681,5,600,668,364,44
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",11588,1009,5566,2898,1735,380
"Otra (010)",95,,24,58,13,
"Ocupación no especificada (011)",738,10,282,257,145,44
"Desocupado (012)",590,45,322,139,66,18
"Hombres (013)",24121,796,8814,7823,5222,1466
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",54,,6,26,18,4
"Profes., científicos e intelectuales (015)",948,,184,511,240,13
"Técnicos de nivel medio y trab.asimilados (016)",550,2,169,227,131,21
"Jefes y empleados de oficina (017)",281,,87,125,66,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1069,20,311,402,274,62
"Agricult.trabaj. calif. agrop. y pesqueros (019)",9500,,2506,3360,2680,954
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1341,19,487,489,305,41
"Obreros construc., conf., papel, fab., instr. (021)",1636,3,584,653,353,43
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",7884,715,4128,1733,1020,288
"Otra (023)",94,,24,57,13,
"Ocupación no especificada (024)",339,8,116,132,63,20
"Desocupado (025)",425,29,212,108,59,17
"Mujeres (026)",8889,340,3196,3295,1782,276
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",12,,2,5,4,1
"Profes., científicos e intelectuales (028)",997,,287,552,157,1
"Técnicos de nivel medio y trab.asimilados (029)",324,1,117,143,58,5
"Jefes y empleados de oficina (030)",321,,169,119,32,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1774,24,535,770,392,53
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1010,,318,320,283,89
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",137,1,38,49,41,8
