"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia MARISCAL RAMON CASTILLA",,,,,,,
"Viviendas particulares (001)",9965,361,1046,116,7779,179,484
"Ocupantes presentes (002)",52872,1270,5621,608,42226,704,2443
"Casa independiente",,,,,,,
"Viviendas particulares (004)",5953,224,406,93,4954,131,145
"Ocupantes presentes (005)",32623,831,2414,502,27638,519,719
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",2,2,,,,,
"Ocupantes presentes (008)",7,7,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",115,87,,1,24,1,2
"Ocupantes presentes (011)",386,280,,6,90,1,9
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",8,6,,,1,1,
"Ocupantes presentes (014)",30,23,,,2,5,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",3854,33,634,22,2790,42,333
"Ocupantes presentes (017)",19681,94,3183,100,14459,156,1689
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",22,7,6,,3,3,3
"Ocupantes presentes (020)",91,29,24,,15,16,7
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",8,2,,,4,1,1
"Ocupantes presentes (023)",47,6,,,15,7,19
"Otro tipo",,,,,,,
"Viviendas particulares (025)",3,,,,3,,
"Ocupantes presentes (026)",7,,,,7,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",2812,278,74,64,2268,67,61
"Ocupantes presentes (029)",15007,1001,445,338,12662,296,265
"Casa independiente",,,,,,,
"Viviendas particulares (031)",2657,174,68,63,2235,61,56
"Ocupantes presentes (032)",14466,656,421,332,12541,267,249
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",2,2,,,,,
"Ocupantes presentes (035)",7,7,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",115,87,,1,24,1,2
"Ocupantes presentes (038)",386,280,,6,90,1,9
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",8,6,,,1,1,
"Ocupantes presentes (041)",30,23,,,2,5,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",22,7,6,,3,3,3
"Ocupantes presentes (047)",91,29,24,,15,16,7
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",6,2,,,3,1,
"Ocupantes presentes (050)",22,6,,,9,7,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",2,,,,2,,
"Ocupantes presentes (053)",5,,,,5,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",7153,83,972,52,5511,112,423
"Ocupantes presentes (056)",37865,269,5176,270,29564,408,2178
"Casa independiente",,,,,,,
"Viviendas particulares (058)",3296,50,338,30,2719,70,89
"Ocupantes presentes (059)",18157,175,1993,170,15097,252,470
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",3854,33,634,22,2790,42,333
"Ocupantes presentes (071)",19681,94,3183,100,14459,156,1689
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,1,,1
"Ocupantes presentes (077)",25,,,,6,,19
"Otro tipo",,,,,,,
"Viviendas particulares (079)",1,,,,1,,
"Ocupantes presentes (080)",2,,,,2,,
