"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SANTA (000)",375430,23149,91713,21141,240703
"Quechua (001)",9005,974,1763,269,6011
"Aymara (002)",105,5,18,15,73
"Asháninka (003)",36,6,13,9,12
"Otra lengua nativa (004)",274,23,63,27,165
"Castellano (005)",365507,22107,89795,20727,234128
"Idioma Extranjero (006)",138,1,6,81,50
"Es Sordomudo/a (007)",365,33,55,13,264
"Hombres (009)",187062,11184,45868,12102,118701
"Quechua (010)",4259,459,900,147,2762
"Aymara (011)",50,2,9,11,32
"Asháninka (012)",25,4,8,8,8
"Otra lengua nativa (013)",139,14,27,14,85
"Castellano (014)",182308,10687,44884,11867,115646
"Idioma Extranjero (015)",81,1,4,46,30
"Es Sordomudo/a (016)",200,17,36,9,138
"Mujeres (018)",188368,11965,45845,9039,122002
"Quechua (019)",4746,515,863,122,3249
"Aymara (020)",55,3,9,4,41
"Asháninka (021)",11,2,5,1,4
"Otra lengua nativa (022)",135,9,36,13,80
"Castellano (023)",183199,11420,44911,8860,118482
"Idioma Extranjero (024)",57,,2,35,20
"Es Sordomudo/a (025)",165,16,19,4,126
,,,,,
"URBANA (027)",351058,18808,90387,20822,222313
"Quechua (028)",6144,228,1646,245,4037
"Aymara (029)",100,5,18,15,68
"Asháninka (030)",36,6,13,9,12
"Otra lengua nativa (031)",272,23,63,27,163
"Castellano (032)",344055,18521,88587,20432,217761
"Idioma Extranjero (033)",138,1,6,81,50
"Es Sordomudo/a (034)",313,24,54,13,222
"Hombres (036)",173978,8965,45188,11909,108706
"Quechua (037)",2809,102,837,137,1742
"Aymara (038)",47,2,9,11,29
"Asháninka (039)",25,4,8,8,8
"Otra lengua nativa (040)",138,14,27,14,84
"Castellano (041)",170707,8830,44268,11684,106698
"Idioma Extranjero (042)",81,1,4,46,30
"Es Sordomudo/a (043)",171,12,35,9,115
"Mujeres (045)",177080,9843,45199,8913,113607
"Quechua (046)",3335,126,809,108,2295
"Aymara (047)",53,3,9,4,39
"Asháninka (048)",11,2,5,1,4
"Otra lengua nativa (049)",134,9,36,13,79
"Castellano (050)",173348,9691,44319,8748,111063
"Idioma Extranjero (051)",57,,2,35,20
"Es Sordomudo/a (052)",142,12,19,4,107
,,,,,
"RURAL (054)",24372,4341,1326,319,18390
"Quechua (055)",2861,746,117,24,1974
"Aymara (056)",5,,,,5
"Otra lengua nativa (058)",2,,,,2
"Castellano (059)",21452,3586,1208,295,16367
"Es Sordomudo/a (061)",52,9,1,,42
"Hombres (063)",13084,2219,680,193,9995
"Quechua (064)",1450,357,63,10,1020
"Aymara (065)",3,,,,3
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",11601,1857,616,183,8948
"Es Sordomudo/a (070)",29,5,1,,23
"Mujeres (072)",11288,2122,646,126,8395
"Quechua (073)",1411,389,54,14,954
"Aymara (074)",2,,,,2
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",9851,1729,592,112,7419
"Es Sordomudo/a (079)",23,4,,,19
