"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LEONCIO PRADO (000)",44205,36952,2788,1865,2600
"Sin nivel (001)",3201,3095,77,13,16
"Educación inicial (002)",49,44,5,,
"Primaria (003)",15955,15064,582,190,119
"Secundaria (004)",16121,14068,1088,484,481
"Superior no univ. incompleta (005)",1453,1103,130,105,115
"Superior no univ. completa (006)",2110,1000,213,289,608
"Superior univ. incompleta (007)",1954,1319,241,149,245
"Superior univ. completa (008)",3362,1259,452,635,1016
"De 06 a 14 años (010)",1141,1027,84,30,
"Sin nivel (011)",57,54,3,,
"Educación inicial (012)",6,5,1,,
"Primaria (013)",774,698,53,23,
"Secundaria (014)",304,270,27,7,
"De 15 a 29 años (020)",15369,12947,1151,618,653
"Sin nivel (021)",387,368,12,3,4
"Educación inicial (022)",23,21,2,,
"Primaria (023)",4124,3888,181,42,13
"Secundaria (024)",7626,6696,564,221,145
"Superior no univ. incompleta (025)",749,589,71,52,37
"Superior no univ. completa (026)",744,381,80,77,206
"Superior univ. incompleta (027)",923,650,117,83,73
"Superior univ. completa (028)",793,354,124,140,175
"De 30 a 44 años (030)",15333,12371,981,787,1194
"Sin nivel (031)",952,919,21,5,7
"Educación inicial (032)",20,18,2,,
"Primaria (033)",5504,5185,188,79,52
"Secundaria (034)",5181,4500,322,169,190
"Superior no univ. incompleta (035)",460,334,43,33,50
"Superior no univ. completa (036)",946,432,98,138,278
"Superior univ. incompleta (037)",677,433,90,47,107
"Superior univ. completa (038)",1593,550,217,316,510
"De 45 a 64 años (040)",10340,8680,520,415,725
"Sin nivel (041)",1256,1215,32,5,4
"Primaria (043)",4379,4155,136,42,46
"Secundaria (044)",2823,2428,168,85,142
"Superior no univ. incompleta (045)",227,163,16,20,28
"Superior no univ. completa (046)",400,173,34,70,123
"Superior univ. incompleta (047)",341,225,33,19,64
"Superior univ. completa (048)",914,321,101,174,318
"De 65 y más años (050)",2022,1927,52,15,28
"Sin nivel (051)",549,539,9,,1
"Primaria (053)",1174,1138,24,4,8
"Secundaria (054)",187,174,7,2,4
"Superior no univ. incompleta (055)",17,17,,,
"Superior no univ. completa (056)",20,14,1,4,1
"Superior univ. incompleta (057)",13,11,1,,1
"Superior univ. completa (058)",62,34,10,5,13
