"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia BARRANCA (000)",55702,7305,14720,14187,19490
"Asiste actualmente (001)",38859,4725,14161,12869,7104
"No asiste (002)",16843,2580,559,1318,12386
"Hombres (004)",28211,3694,7456,7169,9892
"Asiste actualmente (005)",19573,2375,7164,6467,3567
"No asiste (006)",8638,1319,292,702,6325
"Mujeres (008)",27491,3611,7264,7018,9598
"Asiste actualmente (009)",19286,2350,6997,6402,3537
"No asiste (010)",8205,1261,267,616,6061
,,,,,
"URBANA (012)",47221,6153,12510,12058,16500
"Asiste actualmente (013)",33569,4112,12040,11034,6383
"No asiste (014)",13652,2041,470,1024,10117
"Hombres (016)",23767,3123,6281,6065,8298
"Asiste actualmente (017)",16795,2077,6032,5520,3166
"No asiste (018)",6972,1046,249,545,5132
"Mujeres (020)",23454,3030,6229,5993,8202
"Asiste actualmente (021)",16774,2035,6008,5514,3217
"No asiste (022)",6680,995,221,479,4985
,,,,,
"RURAL (024)",8481,1152,2210,2129,2990
"Asiste actualmente (025)",5290,613,2121,1835,721
"No asiste (026)",3191,539,89,294,2269
"Hombres (028)",4444,571,1175,1104,1594
"Asiste actualmente (029)",2778,298,1132,947,401
"No asiste (030)",1666,273,43,157,1193
"Mujeres (032)",4037,581,1035,1025,1396
"Asiste actualmente (033)",2512,315,989,888,320
"No asiste (034)",1525,266,46,137,1076
