"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAMANGA (000)",172,167,5
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",82,82,
"Casa pensión (003)",25,25,
"Hospital, clinica (004)",8,8,
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",7,6,1
"Otro (008)",37,35,2
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",11,9,2
