"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CHUMBIVILCAS (000)",23119,568,5959,7820,6539,2233
"Agric., ganadería, caza y silvicultura (001)",16680,419,3939,5290,5094,1938
"Pesca (002)",10,,2,3,4,1
"Explotación de minas y canteras (003)",398,,169,145,75,9
"Industrias manufactureras (004)",811,24,231,252,240,64
"Suministro de electricidad, gas y agua (005)",9,,4,3,2,
"Construcción (006)",1032,10,325,398,264,35
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1227,62,400,440,268,57
"Venta, mant.y rep. veh.autom.y motoc. (008)",46,2,23,13,5,3
"Comercio al por mayor (009)",22,,7,10,5,
"Comercio al por menor (010)",1159,60,370,417,258,54
"Hoteles y restaurantes (011)",309,22,108,93,61,25
"Trans., almac. y comunicaciones (012)",191,6,87,66,30,2
"Intermediación financiera (013)",5,,1,4,,
"Activid.inmobil., empres. y alquileres (014)",108,,45,40,18,5
"Admin.pub. y defensa; p. segur.soc.afil (015)",349,,102,163,78,6
"Enseñanza (016)",998,1,188,597,212,
"Servicios sociales y de salud (017)",126,,46,75,5,
"Otras activ. serv.comun.soc y personales (018)",103,8,50,23,18,4
"Hogares privados con servicio doméstico (019)",110,12,67,13,10,8
"Actividad economica no especificada (021)",653,4,195,215,160,79
"Hombres (022)",14366,312,3475,4920,4208,1451
"Agric., ganadería, caza y silvicultura (023)",10405,220,2281,3325,3273,1306
"Pesca (024)",10,,2,3,4,1
"Explotación de minas y canteras (025)",378,,158,142,70,8
"Industrias manufactureras (026)",446,19,128,129,131,39
"Suministro de electricidad, gas y agua (027)",9,,4,3,2,
"Construcción (028)",982,9,310,375,255,33
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",482,36,135,182,107,22
"Venta, mant.y rep. veh.autom.y motoc. (030)",41,2,21,13,4,1
"Comercio al por mayor (031)",14,,5,6,3,
"Comercio al por menor (032)",427,34,109,163,100,21
"Hoteles y restaurantes (033)",56,9,25,9,12,1
"Trans., almac. y comunicaciones (034)",172,6,74,61,29,2
"Intermediación financiera (035)",4,,1,3,,
"Activid.inmobil., empres. y alquileres (036)",84,,28,35,16,5
"Admin.pub. y defensa; p. segur.soc.afil (037)",300,,77,142,75,6
"Enseñanza (038)",630,,95,376,159,
"Servicios sociales y de salud (039)",44,,13,29,2,
"Otras activ. serv.comun.soc y personales (040)",65,7,32,15,7,4
