"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",9965,52872,2812,15007,7153,37865
"Casa independiente (001)",5953,32623,2657,14466,3296,18157
"Departamento en edificio (002)",2,7,2,7,,
"Vivienda en quinta (003)",115,386,115,386,,
"Vivienda en casa de vecindad (004)",8,30,8,30,,
"Choza o cabaña (005)",3854,19681,,,3854,19681
"Vivienda improvisada (006)",22,91,22,91,,
"Local no dest.para hab. humana (007)",8,47,6,22,2,25
"Otro tipo (008)",3,7,2,5,1,2
