"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CASTILLA (000)",15340,2317,4527,3917,4579
"Asiste actualmente (001)",10356,1090,4394,3637,1235
"No asiste (002)",4984,1227,133,280,3344
"Hombres (004)",7883,1160,2284,2030,2409
"Asiste actualmente (005)",5348,546,2218,1918,666
"No asiste (006)",2535,614,66,112,1743
"Mujeres (008)",7457,1157,2243,1887,2170
"Asiste actualmente (009)",5008,544,2176,1719,569
"No asiste (010)",2449,613,67,168,1601
,,,,,
"URBANA (012)",8900,1328,2693,2318,2561
"Asiste actualmente (013)",6291,677,2639,2202,773
"No asiste (014)",2609,651,54,116,1788
"Hombres (016)",4491,653,1342,1214,1282
"Asiste actualmente (017)",3209,333,1313,1166,397
"No asiste (018)",1282,320,29,48,885
"Mujeres (020)",4409,675,1351,1104,1279
"Asiste actualmente (021)",3082,344,1326,1036,376
"No asiste (022)",1327,331,25,68,903
,,,,,
"RURAL (024)",6440,989,1834,1599,2018
"Asiste actualmente (025)",4065,413,1755,1435,462
"No asiste (026)",2375,576,79,164,1556
"Hombres (028)",3392,507,942,816,1127
"Asiste actualmente (029)",2139,213,905,752,269
"No asiste (030)",1253,294,37,64,858
"Mujeres (032)",3048,482,892,783,891
"Asiste actualmente (033)",1926,200,850,683,193
"No asiste (034)",1122,282,42,100,698
