"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",16469,2343,4087,6874,96,1706,315,1048
"Agric., ganadería, caza y silvicultura (001)",7011,10,416,5223,50,1312,,
"Pesca (002)",2,,1,1,,,,
"Explotación de minas y canteras (003)",2708,487,2197,21,2,1,,
"Industrias manufactureras (004)",497,20,167,261,8,41,,
"Suministro de electricidad, gas y agua (005)",13,5,8,,,,,
"Construcción (006)",922,20,735,113,9,45,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",927,91,56,671,10,99,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",75,3,44,17,6,5,,
"Comercio al por mayor (009)",58,8,2,42,1,5,,
"Comercio al por menor (010)",794,80,10,612,3,89,,
"Hoteles y restaurantes (011)",332,70,28,207,5,22,,
"Trans., almac. y comunicaciones (012)",340,105,153,73,3,6,,
"Intermediación financiera (013)",11,11,,,,,,
"Activid.inmobil., empres. y alquileres (014)",271,130,124,11,5,1,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",425,345,80,,,,,
"Enseñanza (016)",840,799,2,36,2,1,,
"Servicios sociales y de salud (017)",121,110,2,8,,1,,
"Otras activ. serv.comun.soc y personales (018)",152,48,13,88,,3,,
"Hogares privados con servicio doméstico (019)",315,,,,,,315,
"Actividad economica no especificada (021)",534,92,105,161,2,174,,
"Desocupado (022)",1048,,,,,,,1048
"Hombres (023)",13569,1588,3846,5890,82,1269,12,882
"Agric., ganadería, caza y silvicultura (024)",6583,10,361,5041,45,1126,,
"Pesca (025)",2,,1,1,,,,
"Explotación de minas y canteras (026)",2607,450,2134,20,2,1,,
"Industrias manufactureras (027)",365,18,151,170,7,19,,
"Suministro de electricidad, gas y agua (028)",11,3,8,,,,,
"Construcción (029)",893,19,709,111,9,45,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",505,59,56,351,10,29,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",73,3,44,15,6,5,,
"Comercio al por mayor (032)",38,7,2,28,1,,,
"Comercio al por menor (033)",394,49,10,308,3,24,,
"Hoteles y restaurantes (034)",76,32,11,30,1,2,,
"Trans., almac. y comunicaciones (035)",321,92,149,72,3,5,,
"Intermediación financiera (036)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (037)",233,102,117,10,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",281,213,68,,,,,
"Enseñanza (039)",468,444,2,20,1,1,,
"Servicios sociales y de salud (040)",54,45,2,7,,,,
"Otras activ. serv.comun.soc y personales (041)",50,31,7,11,,1,,
"Hogares privados con servicio doméstico (042)",12,,,,,,12,
"Actividad economica no especificada (044)",218,62,70,46,,40,,
"Desocupado (045)",882,,,,,,,882
"Mujeres (046)",2900,755,241,984,14,437,303,166
"Agric., ganadería, caza y silvicultura (047)",428,,55,182,5,186,,
"Explotación de minas y canteras (049)",101,37,63,1,,,,
"Industrias manufactureras (050)",132,2,16,91,1,22,,
"Suministro de electricidad, gas y agua (051)",2,2,,,,,,
"Construcción (052)",29,1,26,2,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",422,32,,320,,70,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",2,,,2,,,,
"Comercio al por mayor (055)",20,1,,14,,5,,
"Comercio al por menor (056)",400,31,,304,,65,,
"Hoteles y restaurantes (057)",256,38,17,177,4,20,,
"Trans., almac. y comunicaciones (058)",19,13,4,1,,1,,
"Intermediación financiera (059)",3,3,,,,,,
"Activid.inmobil., empres. y alquileres (060)",38,28,7,1,1,1,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",144,132,12,,,,,
"Enseñanza (062)",372,355,,16,1,,,
"Servicios sociales y de salud (063)",67,65,,1,,1,,
"Otras activ. serv.comun.soc y personales (064)",102,17,6,77,,2,,
"Hogares privados con servicio doméstico (065)",303,,,,,,303,
"Actividad economica no especificada (067)",316,30,35,115,2,134,,
"Desocupado (068)",166,,,,,,,166
,,,,,,,,
"URBANA (069)",5799,1557,1680,1603,25,259,137,538
"Agric., ganadería, caza y silvicultura (070)",661,5,105,445,3,103,,
"Pesca (071)",1,,1,,,,,
"Explotación de minas y canteras (072)",828,66,746,16,,,,
"Industrias manufactureras (073)",259,7,88,146,5,13,,
"Suministro de electricidad, gas y agua (074)",13,5,8,,,,,
"Construcción (075)",503,13,416,60,6,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",708,72,30,523,2,81,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",38,3,24,10,1,,,
"Comercio al por mayor (078)",44,3,1,36,,4,,
"Comercio al por menor (079)",626,66,5,477,1,77,,
"Hoteles y restaurantes (080)",235,43,15,163,2,12,,
"Trans., almac. y comunicaciones (081)",204,69,66,61,3,5,,
"Intermediación financiera (082)",11,11,,,,,,
"Activid.inmobil., empres. y alquileres (083)",166,89,63,10,3,1,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",378,308,70,,,,,
"Enseñanza (085)",722,691,,30,1,,,
"Servicios sociales y de salud (086)",104,93,2,8,,1,,
"Otras activ. serv.comun.soc y personales (087)",134,39,9,83,,3,,
"Hogares privados con servicio doméstico (088)",137,,,,,,137,
"Actividad economica no especificada (090)",197,46,61,58,,32,,
"Desocupado (091)",538,,,,,,,538
"Hombres (092)",4105,925,1565,991,20,143,7,454
"Agric., ganadería, caza y silvicultura (093)",620,5,95,427,2,91,,
"Pesca (094)",1,,1,,,,,
"Explotación de minas y canteras (095)",811,62,734,15,,,,
"Industrias manufactureras (096)",182,6,74,91,4,7,,
"Suministro de electricidad, gas y agua (097)",11,3,8,,,,,
"Construcción (098)",477,12,393,58,6,8,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",355,42,30,259,2,22,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",36,3,24,8,1,,,
"Comercio al por mayor (101)",28,2,1,25,,,,
"Comercio al por menor (102)",291,37,5,226,1,22,,
"Hoteles y restaurantes (103)",35,12,3,17,1,2,,
"Trans., almac. y comunicaciones (104)",188,58,63,60,3,4,,
"Intermediación financiera (105)",8,8,,,,,,
"Activid.inmobil., empres. y alquileres (106)",137,68,58,9,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",241,183,58,,,,,
"Enseñanza (108)",395,378,,17,,,,
"Servicios sociales y de salud (109)",48,39,2,7,,,,
"Otras activ. serv.comun.soc y personales (110)",39,25,3,10,,1,,
"Hogares privados con servicio doméstico (111)",7,,,,,,7,
"Actividad economica no especificada (113)",96,24,43,21,,8,,
"Desocupado (114)",454,,,,,,,454
"Mujeres (115)",1694,632,115,612,5,116,130,84
"Agric., ganadería, caza y silvicultura (116)",41,,10,18,1,12,,
"Explotación de minas y canteras (118)",17,4,12,1,,,,
"Industrias manufactureras (119)",77,1,14,55,1,6,,
