"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia POMABAMBA (000)",5842,1229,1266,2593,19,610,125
"Sin nivel (001)",1191,6,287,670,,196,32
"Educación inicial (002)",12,,5,5,,2,
"Primaria (003)",1837,16,498,1051,2,230,40
"Secundaria (004)",1224,114,357,563,9,135,46
"Superior no univ. incompleta (005)",215,79,31,79,2,21,3
"Superior no univ. completa (006)",826,616,52,135,2,19,2
"Superior univ. incompleta (007)",129,83,12,28,1,3,2
"Superior univ. completa (008)",408,315,24,62,3,4,
"Hombres (010)",4586,770,1205,2222,16,355,18
"Sin nivel (011)",919,2,260,578,,71,8
"Educación inicial (012)",10,,5,4,,1,
"Primaria (013)",1594,14,484,947,1,147,1
"Secundaria (014)",1018,78,341,473,8,109,9
"Superior no univ. incompleta (015)",157,50,31,61,1,14,
"Superior no univ. completa (016)",528,375,51,90,2,10,
"Superior univ. incompleta (017)",90,51,12,23,1,3,
"Superior univ. completa (018)",270,200,21,46,3,,
"Mujeres (020)",1256,459,61,371,3,255,107
"Sin nivel (021)",272,4,27,92,,125,24
"Educación inicial (022)",2,,,1,,1,
"Primaria (023)",243,2,14,104,1,83,39
"Secundaria (024)",206,36,16,90,1,26,37
"Superior no univ. incompleta (025)",58,29,,18,1,7,3
"Superior no univ. completa (026)",298,241,1,45,,9,2
"Superior univ. incompleta (027)",39,32,,5,,,2
"Superior univ. completa (028)",138,115,3,16,,4,
,,,,,,,
"URBANA (030)",1940,911,173,677,15,87,77
"Sin nivel (031)",112,3,12,74,,11,12
"Primaria (033)",288,12,42,176,2,28,28
"Secundaria (034)",420,79,73,207,6,23,32
"Superior no univ. incompleta (035)",129,53,11,50,2,11,2
"Superior no univ. completa (036)",572,443,21,96,2,9,1
"Superior univ. incompleta (037)",89,61,2,22,1,1,2
"Superior univ. completa (038)",330,260,12,52,2,4,
"Hombres (040)",1227,545,165,457,12,39,9
"Sin nivel (041)",54,1,10,37,,4,2
"Primaria (043)",187,10,41,122,1,12,1
"Secundaria (044)",297,54,70,149,5,13,6
"Superior no univ. incompleta (045)",83,31,11,34,1,6,
"Superior no univ. completa (046)",341,257,21,58,2,3,
"Superior univ. incompleta (047)",58,35,2,19,1,1,
"Superior univ. completa (048)",207,157,10,38,2,,
"Mujeres (050)",713,366,8,220,3,48,68
"Sin nivel (051)",58,2,2,37,,7,10
"Primaria (053)",101,2,1,54,1,16,27
"Secundaria (054)",123,25,3,58,1,10,26
"Superior no univ. incompleta (055)",46,22,,16,1,5,2
"Superior no univ. completa (056)",231,186,,38,,6,1
"Superior univ. incompleta (057)",31,26,,3,,,2
"Superior univ. completa (058)",123,103,2,14,,4,
,,,,,,,
"RURAL (060)",3902,318,1093,1916,4,523,48
"Sin nivel (061)",1079,3,275,596,,185,20
"Educación inicial (062)",12,,5,5,,2,
"Primaria (063)",1549,4,456,875,,202,12
"Secundaria (064)",804,35,284,356,3,112,14
"Superior no univ. incompleta (065)",86,26,20,29,,10,1
"Superior no univ. completa (066)",254,173,31,39,,10,1
"Superior univ. incompleta (067)",40,22,10,6,,2,
"Superior univ. completa (068)",78,55,12,10,1,,
"Hombres (070)",3359,225,1040,1765,4,316,9
"Sin nivel (071)",865,1,250,541,,67,6
"Educación inicial (072)",10,,5,4,,1,
"Primaria (073)",1407,4,443,825,,135,
"Secundaria (074)",721,24,271,324,3,96,3
"Superior no univ. incompleta (075)",74,19,20,27,,8,
"Superior no univ. completa (076)",187,118,30,32,,7,
"Superior univ. incompleta (077)",32,16,10,4,,2,
"Superior univ. completa (078)",63,43,11,8,1,,
"Mujeres (080)",543,93,53,151,,207,39
"Sin nivel (081)",214,2,25,55,,118,14
"Educación inicial (082)",2,,,1,,1,
"Primaria (083)",142,,13,50,,67,12
"Secundaria (084)",83,11,13,32,,16,11
"Superior no univ. incompleta (085)",12,7,,2,,2,1
"Superior no univ. completa (086)",67,55,1,7,,3,1
"Superior univ. incompleta (087)",8,6,,2,,,
"Superior univ. completa (088)",15,12,1,2,,,
