"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONDORCANQUI (000)",12245,11997,3740,1378,1223,1064,1808,1314,824,646,248,37743
"De 12 a 14 años (001)",1769,1756,1745,9,2,,,,,,13,13
"De 15 a 19 años (002)",2324,2270,1487,577,169,33,4,,,,54,1030
"De 20 a 24 años (003)",1818,1736,255,422,500,330,204,25,,,82,3428
"De 25 a 29 años (004)",1643,1598,92,184,251,347,522,167,35,,45,5374
"De 30 a 34 años (005)",1164,1152,29,78,117,132,374,301,95,26,12,5399
"De 35 a 39 años (006)",1107,1100,21,28,64,82,306,297,202,100,7,6528
"De 40 a 44 años (007)",678,670,22,17,39,49,130,156,136,121,8,4336
"De 45 a 49 años (008)",557,553,23,18,21,36,76,131,129,119,4,3809
"De 50 y más años (009)",1185,1162,66,45,60,55,192,237,227,280,23,7826
"PEA (010)",4376,4271,695,598,578,479,823,550,338,210,105,15615
"De 12 a 14 años (011)",95,94,92,2,,,,,,,1,2
"De 15 a 19 años (012)",702,687,359,235,78,11,4,,,,15,440
"De 20 a 24 años (013)",791,757,114,171,231,145,86,10,,,34,1491
"De 25 a 29 años (014)",736,707,58,93,108,149,224,64,11,,29,2238
"De 30 a 34 años (015)",548,540,22,47,57,57,173,136,40,8,8,2407
"De 35 a 39 años (016)",530,528,9,16,34,45,153,129,98,44,2,3060
"De 40 a 44 años (017)",311,309,8,9,27,28,66,69,64,38,2,1855
"De 45 a 49 años (018)",238,235,16,9,13,17,38,54,48,40,3,1467
"De 50 y más años (019)",425,414,17,16,30,27,79,88,77,80,11,2655
"Ocupada (020)",4322,4219,666,592,573,476,819,547,336,210,103,15538
"De 12 a 14 años (021)",88,87,85,2,,,,,,,1,2
"De 15 a 19 años (022)",683,668,343,232,78,11,4,,,,15,437
