"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia FERREÑAFE (000)",27955,20993,3026,1948,1988
"Sin nivel (001)",2938,2663,149,79,47
"Educación inicial (002)",77,69,1,3,4
"Primaria (003)",8834,7423,941,312,158
"Secundaria (004)",9252,7085,1144,582,441
"Superior no univ. incompleta (005)",1452,1059,135,114,144
"Superior no univ. completa (006)",2904,1553,336,395,620
"Superior univ. incompleta (007)",623,392,75,71,85
"Superior univ. completa (008)",1875,749,245,392,489
"De 06 a 14 años (010)",659,582,49,27,1
"Sin nivel (011)",51,48,2,1,
"Educación inicial (012)",13,11,,2,
"Primaria (013)",466,415,31,19,1
"Secundaria (014)",129,108,16,5,
"De 15 a 29 años (020)",8713,6637,1091,574,411
"Sin nivel (021)",367,326,22,15,4
"Educación inicial (022)",34,32,1,,1
"Primaria (023)",2339,1950,269,94,26
"Secundaria (024)",3899,3030,528,234,107
"Superior no univ. incompleta (025)",592,438,67,44,43
"Superior no univ. completa (026)",797,476,117,92,112
"Superior univ. incompleta (027)",288,196,33,29,30
"Superior univ. completa (028)",397,189,54,66,88
"De 30 a 44 años (030)",9771,7034,1059,786,892
"Sin nivel (031)",801,718,43,27,13
"Educación inicial (032)",30,26,,1,3
"Primaria (033)",2702,2291,275,89,47
"Secundaria (034)",3231,2445,400,210,176
"Superior no univ. incompleta (035)",563,410,47,45,61
"Superior no univ. completa (036)",1375,717,143,193,322
"Superior univ. incompleta (037)",220,122,30,31,37
"Superior univ. completa (038)",849,305,121,190,233
"De 45 a 64 años (040)",7303,5425,704,521,653
"Sin nivel (041)",1157,1038,62,30,27
"Primaria (043)",2616,2161,292,92,71
"Secundaria (044)",1869,1402,189,127,151
"Superior no univ. incompleta (045)",276,196,18,23,39
"Superior no univ. completa (046)",686,330,68,106,182
"Superior univ. incompleta (047)",108,69,10,11,18
"Superior univ. completa (048)",591,229,65,132,165
"De 65 y más años (050)",1509,1315,123,40,31
"Sin nivel (051)",562,533,20,6,3
"Primaria (053)",711,606,74,18,13
"Secundaria (054)",124,100,11,6,7
"Superior no univ. incompleta (055)",21,15,3,2,1
"Superior no univ. completa (056)",46,30,8,4,4
"Superior univ. incompleta (057)",7,5,2,,
"Superior univ. completa (058)",38,26,5,4,3
