"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN MIGUEL (000)",14924,970,7,8114,4173,192,689,138,641
"Empleado (001)",1544,13,,101,276,75,496,65,518
"Obrero (002)",2476,157,3,1369,857,31,35,8,16
"Trabajador independiente (003)",7986,569,,4904,2168,67,139,50,89
"Empleador o patrono (004)",173,11,,101,50,1,4,2,4
"Trabajador familiar no remunerado (005)",2461,169,4,1471,764,15,13,11,14
"Trabajador del hogar (006)",284,51,,168,58,3,2,2,
"Hombres (008)",12483,629,7,7102,3702,132,427,92,392
"Empleado (009)",930,3,,63,203,46,280,35,300
"Obrero (010)",2283,130,3,1255,813,28,33,8,13
"Trabajador independiente (011)",7119,405,,4487,1972,48,103,39,65
"Empleador o patrono (012)",162,8,,98,46,1,3,2,4
"Trabajador familiar no remunerado (013)",1973,82,4,1191,662,9,8,7,10
"Trabajador del hogar (014)",16,1,,8,6,,,1,
"Mujeres (016)",2441,341,,1012,471,60,262,46,249
"Empleado (017)",614,10,,38,73,29,216,30,218
"Obrero (018)",193,27,,114,44,3,2,,3
"Trabajador independiente (019)",867,164,,417,196,19,36,11,24
"Empleador o patrono (020)",11,3,,3,4,,1,,
"Trabajador familiar no remunerado (021)",488,87,,280,102,6,5,4,4
"Trabajador del hogar (022)",268,50,,160,52,3,2,1,
,,,,,,,,,
"URBANA (024)",3099,126,1,881,1050,99,426,80,436
"Empleado (025)",983,6,,44,190,45,315,41,342
"Obrero (026)",432,22,,168,198,10,19,4,11
"Trabajador independiente (027)",1344,62,,529,536,38,83,25,71
"Empleador o patrono (028)",18,,,5,8,1,1,,3
"Trabajador familiar no remunerado (029)",217,17,1,79,93,4,6,8,9
"Trabajador del hogar (030)",105,19,,56,25,1,2,2,
"Hombres (032)",2104,50,1,623,824,62,238,52,254
"Empleado (033)",572,1,,28,139,28,162,24,190
"Obrero (034)",381,18,,142,183,8,18,4,8
"Trabajador independiente (035)",1000,24,,407,424,23,55,19,48
"Empleador o patrono (036)",15,,,5,6,1,,,3
"Trabajador familiar no remunerado (037)",128,7,1,38,68,2,3,4,5
"Trabajador del hogar (038)",8,,,3,4,,,1,
"Mujeres (040)",995,76,,258,226,37,188,28,182
"Empleado (041)",411,5,,16,51,17,153,17,152
"Obrero (042)",51,4,,26,15,2,1,,3
"Trabajador independiente (043)",344,38,,122,112,15,28,6,23
"Empleador o patrono (044)",3,,,,2,,1,,
"Trabajador familiar no remunerado (045)",89,10,,41,25,2,3,4,4
"Trabajador del hogar (046)",97,19,,53,21,1,2,1,
,,,,,,,,,
"RURAL (048)",11825,844,6,7233,3123,93,263,58,205
"Empleado (049)",561,7,,57,86,30,181,24,176
"Obrero (050)",2044,135,3,1201,659,21,16,4,5
"Trabajador independiente (051)",6642,507,,4375,1632,29,56,25,18
"Empleador o patrono (052)",155,11,,96,42,,3,2,1
"Trabajador familiar no remunerado (053)",2244,152,3,1392,671,11,7,3,5
"Trabajador del hogar (054)",179,32,,112,33,2,,,
"Hombres (056)",10379,579,6,6479,2878,70,189,40,138
"Empleado (057)",358,2,,35,64,18,118,11,110
"Obrero (058)",1902,112,3,1113,630,20,15,4,5
"Trabajador independiente (059)",6119,381,,4080,1548,25,48,20,17
"Empleador o patrono (060)",147,8,,93,40,,3,2,1
"Trabajador familiar no remunerado (061)",1845,75,3,1153,594,7,5,3,5
"Trabajador del hogar (062)",8,1,,5,2,,,,
"Mujeres (064)",1446,265,,754,245,23,74,18,67
"Empleado (065)",203,5,,22,22,12,63,13,66
"Obrero (066)",142,23,,88,29,1,1,,
"Trabajador independiente (067)",523,126,,295,84,4,8,5,1
"Empleador o patrono (068)",8,3,,3,2,,,,
"Trabajador familiar no remunerado (069)",399,77,,239,77,4,2,,
"Trabajador del hogar (070)",171,31,,107,31,2,,,
