"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia LUYA",,,,,,,,,
"Viviendas particulares (001)",518,196,168,53,39,5,3,,54
"Ocupantes presentes (002)",2259,877,728,224,167,18,16,,229
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",512,193,165,53,39,5,3,,54
"Ocupantes presentes (005)",2240,869,717,224,167,18,16,,229
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",3,,3,,,,,,
"Ocupantes presentes (014)",11,,11,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",2,2,,,,,,,
"Ocupantes presentes (017)",7,7,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,1,,,,,,,
"Ocupantes presentes (023)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",204,56,51,39,31,3,,,24
"Ocupantes presentes (029)",780,188,194,161,129,8,,,100
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",200,55,48,39,31,3,,,24
"Ocupantes presentes (032)",768,187,183,161,129,8,,,100
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",3,,3,,,,,,
"Ocupantes presentes (041)",11,,11,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,1,,,,,,,
"Ocupantes presentes (050)",1,1,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",314,140,117,14,8,2,3,,30
"Ocupantes presentes (056)",1479,689,534,63,38,10,16,,129
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",312,138,117,14,8,2,3,,30
"Ocupantes presentes (059)",1472,682,534,63,38,10,16,,129
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",2,2,,,,,,,
"Ocupantes presentes (071)",7,7,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
