"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia HUAMANGA",,,,,,,,,
"Viviendas particulares (001)",3577,1769,696,230,381,43,32,67,359
"Ocupantes presentes (002)",14526,6727,2927,994,1728,204,142,280,1524
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",3435,1714,677,223,354,40,29,64,334
"Ocupantes presentes (005)",13985,6512,2863,969,1636,194,131,267,1413
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",18,5,3,,6,,,,4
"Ocupantes presentes (008)",81,18,12,,19,,,,32
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",52,11,9,6,6,2,2,2,14
"Ocupantes presentes (011)",190,37,29,16,17,6,10,9,66
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",34,10,6,1,9,1,1,1,5
"Ocupantes presentes (014)",111,25,18,9,40,4,1,4,10
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",35,28,,,5,,,,2
"Ocupantes presentes (017)",143,125,,,15,,,,3
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,1,1,,,,,,
"Ocupantes presentes (020)",15,10,5,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,1,,,,
"Ocupantes presentes (023)",1,,,,1,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",2904,1484,585,191,282,37,24,54,247
"Ocupantes presentes (029)",11552,5475,2419,823,1252,182,116,228,1057
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",2797,1457,566,184,260,34,21,51,224
"Ocupantes presentes (032)",11154,5385,2355,798,1175,172,105,215,949
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",18,5,3,,6,,,,4
"Ocupantes presentes (035)",81,18,12,,19,,,,32
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",52,11,9,6,6,2,2,2,14
"Ocupantes presentes (038)",190,37,29,16,17,6,10,9,66
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",34,10,6,1,9,1,1,1,5
"Ocupantes presentes (041)",111,25,18,9,40,4,1,4,10
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,1,1,,,,,,
"Ocupantes presentes (047)",15,10,5,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,,1,,,,
"Ocupantes presentes (050)",1,,,,1,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",673,285,111,39,99,6,8,13,112
"Ocupantes presentes (056)",2974,1252,508,171,476,22,26,52,467
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",638,257,111,39,94,6,8,13,110
"Ocupantes presentes (059)",2831,1127,508,171,461,22,26,52,464
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",35,28,,,5,,,,2
"Ocupantes presentes (071)",143,125,,,15,,,,3
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
