"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",15606,3324,484,6767,3955,242,384,123,327
"Jefe o Jefa (001)",4057,813,1,1784,955,92,161,52,199
"Esposa(o)/ compa¤era(o) (002)",2782,853,5,1095,617,41,89,26,56
"Hijo(a)/ hijastro(a) (003)",7046,1145,408,3321,1950,77,90,23,32
"Yerno/ nuera (004)",176,9,1,37,95,14,15,1,4
"Nieto(a) (005)",482,133,51,208,83,2,2,3,
"Padres/ suegros (006)",270,204,,63,1,2,,,
"Otro(a) pariente (007)",622,140,18,217,200,9,13,10,15
"Trabajador(a) del hogar (008)",17,5,,8,4,,,,
"Pensionista (009)",19,,,2,7,,2,1,7
"Otro(a) no pariente (010)",135,22,,32,43,5,12,7,14
"Hombres (012)",7762,1127,239,3475,2234,148,225,87,227
"Jefe o Jefa (013)",3019,341,1,1438,806,78,137,50,168
"Esposa(o)/ compa¤era(o) (014)",228,32,,84,81,4,12,4,11
"Hijo(a)/ hijastro(a) (015)",3690,586,199,1664,1101,51,51,17,21
"Yerno/ nuera (016)",85,2,,13,49,7,10,1,3
"Nieto(a) (017)",251,68,26,94,59,,1,3,
"Padres/ suegros (018)",67,30,,36,,1,,,
"Otro(a) pariente (019)",331,57,13,124,107,3,7,7,13
"Trabajador(a) del hogar (020)",4,1,,3,,,,,
"Pensionista (021)",11,,,,6,,2,,3
"Otro(a) no pariente (022)",76,10,,19,25,4,5,5,8
"Mujeres (024)",7844,2197,245,3292,1721,94,159,36,100
"Jefe o Jefa (025)",1038,472,,346,149,14,24,2,31
"Esposa(o)/ compa¤era(o) (026)",2554,821,5,1011,536,37,77,22,45
"Hijo(a)/ hijastro(a) (027)",3356,559,209,1657,849,26,39,6,11
"Yerno/ nuera (028)",91,7,1,24,46,7,5,,1
"Nieto(a) (029)",231,65,25,114,24,2,1,,
"Padres/ suegros (030)",203,174,,27,1,1,,,
"Otro(a) pariente (031)",291,83,5,93,93,6,6,3,2
"Trabajador(a) del hogar (032)",13,4,,5,4,,,,
"Pensionista (033)",8,,,2,1,,,1,4
"Otro(a) no pariente (034)",59,12,,13,18,1,7,2,6
,,,,,,,,,
"URBANA (036)",3957,560,126,1251,1278,134,254,93,261
"Jefe o Jefa (037)",1138,118,1,308,347,55,109,38,162
"Esposa(o)/ compa¤era(o) (038)",713,86,1,211,250,25,72,21,47
"Hijo(a)/ hijastro(a) (039)",1520,245,104,576,480,33,44,17,21
"Yerno/ nuera (040)",50,,,6,25,9,6,,4
"Nieto(a) (041)",98,29,12,27,25,,2,3,
"Padres/ suegros (042)",68,39,,28,,1,,,
"Otro(a) pariente (043)",258,31,8,68,111,6,12,8,14
"Trabajador(a) del hogar (044)",12,2,,6,4,,,,
"Pensionista (045)",10,,,,5,,,1,4
"Otro(a) no pariente (046)",90,10,,21,31,5,9,5,9
"Hombres (048)",2015,197,70,593,694,81,138,61,181
"Jefe o Jefa (049)",835,38,1,210,270,47,93,36,140
