"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia LAmás (000)",19902,19112,87,3680,3848,3007,4181,2534,1276,499,790,71322
"De 12 a 14 años (001)",70,37,2,31,4,,,,,,33,39
"De 15 a 19 años (002)",1157,1005,9,812,156,22,6,,,,152,1214
"De 20 a 24 años (003)",2568,2339,8,1212,830,225,59,5,,,229,3831
"De 25 a 29 años (004)",2620,2494,15,660,945,544,295,34,1,,126,5641
"De 30 a 34 años (005)",2475,2406,4,349,727,618,585,108,13,2,69,6991
"De 35 a 39 años (006)",2330,2291,8,178,457,530,773,276,62,7,39,8442
"De 40 a 44 años (007)",1919,1886,2,112,257,364,685,338,109,19,33,8029
"De 45 a 49 años (008)",1554,1533,7,81,177,240,487,352,145,44,21,7292
"De 50 y más años (009)",5209,5121,32,245,295,464,1291,1421,946,427,88,29843
"PEA (010)",7380,7011,34,1365,1496,1166,1572,844,390,144,369,25036
"De 12 a 14 años (011)",15,9,,8,1,,,,,,6,10
"De 15 a 19 años (012)",310,257,3,209,33,8,4,,,,53,315
"De 20 a 24 años (013)",854,726,2,409,236,62,15,2,,,128,1144
"De 25 a 29 años (014)",900,831,7,248,332,156,79,9,,,69,1768
"De 30 a 34 años (015)",956,918,2,174,305,214,189,27,7,,38,2468
"De 35 a 39 años (016)",1028,1010,3,106,233,238,333,80,16,1,18,3384
"De 40 a 44 años (017)",838,821,1,62,138,179,299,114,23,5,17,3161
"De 45 a 49 años (018)",716,704,4,45,102,125,216,143,55,14,12,3109
"De 50 y más años (019)",1763,1735,12,104,116,184,437,469,289,124,28,9677
"Ocupada (020)",7288,6935,33,1337,1479,1157,1561,837,390,141,353,24824
"De 12 a 14 años (021)",14,8,,7,1,,,,,,6,9
