"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANAS (000)",32691,15627,1093,175,15823
"Hombres (001)",16305,7446,615,122,8144
"Mujeres (002)",16386,8181,478,53,7679
"PEA (003)",9629,3160,481,108,5890
"Hombres (004)",6251,1809,328,87,4036
"Mujeres (005)",3378,1351,153,21,1854
"Ocupada (006)",9128,2990,479,106,5563
"Hombres (007)",5833,1660,327,85,3770
"Mujeres (008)",3295,1330,152,21,1793
"Desocupada (009)",501,170,2,2,327
"Hombres (010)",418,149,1,2,266
"Mujeres (011)",83,21,1,,61
"No PEA (012)",23062,12467,612,67,9933
"Hombres (013)",10054,5637,287,35,4108
"Mujeres (014)",13008,6830,325,32,5825
,,,,,
"URBANA (018)",5382,1429,616,107,3235
"Hombres (019)",2705,710,337,78,1583
"Mujeres (020)",2677,719,279,29,1652
"PEA (021)",1895,205,321,70,1301
"Hombres (022)",1170,121,204,58,789
"Mujeres (023)",725,84,117,12,512
"Ocupada (024)",1797,194,319,69,1217
"Hombres (025)",1098,112,203,57,728
"Mujeres (026)",699,82,116,12,489
"Desocupada (027)",98,11,2,1,84
"Hombres (028)",72,9,1,1,61
"Mujeres (029)",26,2,1,,23
"No PEA (030)",3487,1224,295,37,1934
"Hombres (031)",1535,589,133,20,794
"Mujeres (032)",1952,635,162,17,1140
,,,,,
"RURAL (036)",27309,14198,477,68,12588
"Hombres (037)",13600,6736,278,44,6561
"Mujeres (038)",13709,7462,199,24,6027
"PEA (039)",7734,2955,160,38,4589
"Hombres (040)",5081,1688,124,29,3247
"Mujeres (041)",2653,1267,36,9,1342
"Ocupada (042)",7331,2796,160,37,4346
"Hombres (043)",4735,1548,124,28,3042
"Mujeres (044)",2596,1248,36,9,1304
"Desocupada (045)",403,159,,1,243
"Hombres (046)",346,140,,1,205
"Mujeres (047)",57,19,,,38
"No PEA (048)",19575,11243,317,30,7999
"Hombres (049)",8519,5048,154,15,3314
"Mujeres (050)",11056,6195,163,15,4685
