"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUAMALIES (000)",15352,4360,10992
"Red pública dentro de la vivienda (001)",2923,1626,1297
"Red pública fuera de la vivienda (002)",1596,654,942
"Pilón de uso público (003)",351,65,286
"Camión - cisterna u otro similar (004)",4,2,2
"Pozo (005)",992,138,854
"Río, acequia, manatial o similar (006)",9029,1735,7294
"Vecino (007)",401,121,280
"Otro (008)",56,19,37
,,,
"URBANA (010)",4208,2839,1369
"Red pública dentro de la vivienda (011)",1961,1412,549
"Red pública fuera de la vivienda (012)",743,471,272
"Pilón de uso público (013)",50,33,17
"Camión - cisterna u otro similar (014)",2,2,
"Pozo (015)",73,30,43
"Río, acequia, manatial o similar (016)",1147,801,346
"Vecino (017)",203,76,127
"Otro (018)",29,14,15
,,,
"RURAL (020)",11144,1521,9623
"Red pública dentro de la vivienda (021)",962,214,748
"Red pública fuera de la vivienda (022)",853,183,670
"Pilón de uso público (023)",301,32,269
"Camión - cisterna u otro similar (024)",2,,2
"Pozo (025)",919,108,811
"Río, acequia, manatial o similar (026)",7882,934,6948
"Vecino (027)",198,45,153
"Otro (028)",27,5,22
