"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAMBOPATA (000)",69362,6182,2108,18735,24763,4185,4027,4693,4669
"Jefe o Jefa (001)",19922,722,15,4097,7628,1505,1902,1556,2497
"Esposa(o)/ compa¤era(o) (002)",10836,680,23,2707,4161,816,933,615,901
"Hijo(a)/ hijastro(a) (003)",25638,3363,1576,8700,7976,1108,601,1789,525
"Yerno/ nuera (004)",983,5,2,70,536,103,87,90,90
"Nieto(a) (005)",2015,559,278,753,337,23,16,34,15
"Padres/ suegros (006)",673,201,,292,114,14,22,5,25
"Otro(a) pariente (007)",5770,449,174,1499,2285,367,246,400,350
"Trabajador(a) del hogar (008)",206,8,2,38,113,20,6,13,6
"Pensionista (009)",241,12,,24,117,15,9,27,37
"Otro(a) no pariente (010)",3078,183,38,555,1496,214,205,164,223
"Hombres (012)",35785,2629,1080,9047,13461,2198,1998,2640,2732
"Jefe o Jefa (013)",13737,286,9,2542,5439,1073,1308,1182,1898
"Esposa(o)/ compa¤era(o) (014)",1441,27,4,276,677,142,99,101,115
"Hijo(a)/ hijastro(a) (015)",13268,1674,835,4518,4281,545,248,917,250
"Yerno/ nuera (016)",493,4,1,32,278,52,31,39,56
"Nieto(a) (017)",1045,274,136,395,202,10,5,16,7
"Padres/ suegros (018)",293,37,,151,65,10,12,1,17
"Otro(a) pariente (019)",3200,208,77,740,1358,203,145,254,215
"Trabajador(a) del hogar (020)",55,3,,9,27,8,1,2,5
"Pensionista (021)",159,7,,12,81,8,8,18,25
"Otro(a) no pariente (022)",2094,109,18,372,1053,147,141,110,144
"Mujeres (024)",33577,3553,1028,9688,11302,1987,2029,2053,1937
"Jefe o Jefa (025)",6185,436,6,1555,2189,432,594,374,599
"Esposa(o)/ compa¤era(o) (026)",9395,653,19,2431,3484,674,834,514,786
"Hijo(a)/ hijastro(a) (027)",12370,1689,741,4182,3695,563,353,872,275
"Yerno/ nuera (028)",490,1,1,38,258,51,56,51,34
"Nieto(a) (029)",970,285,142,358,135,13,11,18,8
"Padres/ suegros (030)",380,164,,141,49,4,10,4,8
"Otro(a) pariente (031)",2570,241,97,759,927,164,101,146,135
"Trabajador(a) del hogar (032)",151,5,2,29,86,12,5,11,1
"Pensionista (033)",82,5,,12,36,7,1,9,12
"Otro(a) no pariente (034)",984,74,20,183,443,67,64,54,79
,,,,,,,,,
"URBANA (036)",58014,4622,1862,14749,20662,3728,3656,4370,4365
"Jefe o Jefa (037)",16624,448,12,2983,6388,1354,1712,1413,2314
"Esposa(o)/ compa¤era(o) (038)",9003,392,23,1984,3541,729,873,578,883
"Hijo(a)/ hijastro(a) (039)",21957,2726,1390,7267,6832,1006,556,1688,492
"Yerno/ nuera (040)",815,4,1,50,428,90,80,85,77
"Nieto(a) (041)",1701,450,251,638,285,18,12,32,15
"Padres/ suegros (042)",581,158,,254,109,10,20,5,25
"Otro(a) pariente (043)",4964,351,156,1200,1988,331,228,383,327
"Trabajador(a) del hogar (044)",153,2,1,24,91,13,5,11,6
