"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUARAZ (000)",139377,18448,3798,41830,36930,6559,11013,8526,12273
"Quechua (001)",50570,11667,731,20980,11399,1312,1995,930,1556
"Aymara (002)",116,16,4,33,32,7,7,7,10
"Ashaninca (003)",12,1,1,,4,,2,2,2
"Otra lengua nativa (004)",37,3,,14,4,8,4,,4
"Castellano (005)",88410,6687,3052,20791,25478,5226,8987,7571,10618
"Idioma extranjero (006)",133,,1,4,7,5,18,15,83
"Es sordomudo/a (007)",99,74,9,8,6,1,,1,
"Hombres (009)",68053,5925,1940,20014,20157,3393,5145,4754,6725
"Quechua (010)",23589,2805,355,9872,6941,787,1131,631,1067
"Aymara (011)",61,4,4,12,21,4,4,5,7
"Ashaninca (012)",3,,,,2,,1,,
"Otra lengua nativa (013)",13,1,,2,2,3,3,,2
"Castellano (014)",44268,3081,1573,10122,13184,2595,3995,4110,5608
"Idioma extranjero (015)",68,,1,2,3,3,11,7,41
"Es sordomudo/a (016)",51,34,7,4,4,1,,1,
"Mujeres (018)",71324,12523,1858,21816,16773,3166,5868,3772,5548
"Quechua (019)",26981,8862,376,11108,4458,525,864,299,489
"Aymara (020)",55,12,,21,11,3,3,2,3
"Ashaninca (021)",9,1,1,,2,,1,2,2
"Otra lengua nativa (022)",24,2,,12,2,5,1,,2
"Castellano (023)",44142,3606,1479,10669,12294,2631,4992,3461,5010
"Idioma extranjero (024)",65,,,2,4,2,7,8,42
"Es sordomudo/a (025)",48,40,2,4,2,,,,
,,,,,,,,,
"URBANA (027)",103509,9734,2882,25539,28548,6051,10517,8246,11992
"Quechua (028)",23991,4169,177,8484,6092,1050,1748,816,1455
"Aymara (029)",88,9,2,21,28,7,5,6,10
"Ashaninca (030)",12,1,1,,4,,2,2,2
"Otra lengua nativa (031)",32,2,,12,4,8,3,,3
"Castellano (032)",79197,5510,2694,17016,22408,4980,8742,7406,10441
"Idioma extranjero (033)",130,,1,4,7,5,17,15,81
"Es sordomudo/a (034)",59,43,7,2,5,1,,1,
"Hombres (036)",50352,3271,1480,11761,14850,3082,4814,4561,6533
"Quechua (037)",10967,716,84,3581,3461,620,964,546,995
"Aymara (038)",44,2,2,6,17,4,2,4,7
"Ashaninca (039)",3,,,,2,,1,,
"Otra lengua nativa (040)",9,,,1,2,3,2,,1
"Castellano (041)",39229,2532,1388,8169,11362,2451,3834,4003,5490
"Idioma extranjero (042)",67,,1,2,3,3,11,7,40
"Es sordomudo/a (043)",33,21,5,2,3,1,,1,
"Mujeres (045)",53157,6463,1402,13778,13698,2969,5703,3685,5459
"Quechua (046)",13024,3453,93,4903,2631,430,784,270,460
"Aymara (047)",44,7,,15,11,3,3,2,3
"Ashaninca (048)",9,1,1,,2,,1,2,2
"Otra lengua nativa (049)",23,2,,11,2,5,1,,2
"Castellano (050)",39968,2978,1306,8847,11046,2529,4908,3403,4951
"Idioma extranjero (051)",63,,,2,4,2,6,8,41
"Es sordomudo/a (052)",26,22,2,,2,,,,
,,,,,,,,,
"RURAL (054)",35868,8714,916,16291,8382,508,496,280,281
"Quechua (055)",26579,7498,554,12496,5307,262,247,114,101
"Aymara (056)",28,7,2,12,4,,2,1,
"Otra lengua nativa (058)",5,1,,2,,,1,,1
"Castellano (059)",9213,1177,358,3775,3070,246,245,165,177
"Idioma extranjero (060)",3,,,,,,1,,2
"Es sordomudo/a (061)",40,31,2,6,1,,,,
"Hombres (063)",17701,2654,460,8253,5307,311,331,193,192
"Quechua (064)",12622,2089,271,6291,3480,167,167,85,72
"Aymara (065)",17,2,2,6,4,,2,1,
"Otra lengua nativa (067)",4,1,,1,,,1,,1
"Castellano (068)",5039,549,185,1953,1822,144,161,107,118
"Idioma extranjero (069)",1,,,,,,,,1
"Es sordomudo/a (070)",18,13,2,2,1,,,,
"Mujeres (072)",18167,6060,456,8038,3075,197,165,87,89
"Quechua (073)",13957,5409,283,6205,1827,95,80,29,29
"Aymara (074)",11,5,,6,,,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",4174,628,173,1822,1248,102,84,58,59
"Idioma extranjero (078)",2,,,,,,1,,1
"Es sordomudo/a (079)",22,18,,4,,,,,
