"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUALGAYOC (000)",850,274,576
"Sin nivel (001)",54,9,45
"Primaria (003)",309,82,227
"Secundaria (004)",301,126,175
"Superior no univ. incompleta (005)",33,11,22
"Superior no univ. completa (006)",104,32,72
"Superior univ. incompleta (007)",13,6,7
"Superior univ. completa (008)",36,8,28
"De 14 a 29 años (010)",470,205,265
"Sin nivel (011)",12,4,8
"Primaria (013)",133,58,75
"Secundaria (014)",208,99,109
"Superior no univ. incompleta (015)",18,9,9
"Superior no univ. completa (016)",68,25,43
"Superior univ. incompleta (017)",9,5,4
"Superior univ. completa (018)",22,5,17
"De 30 a 44 años (020)",239,58,181
"Sin nivel (021)",12,3,9
"Primaria (023)",98,19,79
"Secundaria (024)",73,25,48
"Superior no univ. incompleta (025)",9,1,8
"Superior no univ. completa (026)",32,6,26
"Superior univ. incompleta (027)",3,1,2
"Superior univ. completa (028)",12,3,9
"De 45 a 64 años (030)",113,11,102
"Sin nivel (031)",19,2,17
"Primaria (033)",62,5,57
"Secundaria (034)",19,2,17
"Superior no univ. incompleta (035)",6,1,5
"Superior no univ. completa (036)",4,1,3
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",2,,2
"De 65 y más años (040)",28,,28
"Sin nivel (041)",11,,11
"Primaria (043)",16,,16
"Secundaria (044)",1,,1
,,,
"AREA URBANA (050)",663,164,499
"Sin nivel (051)",41,6,35
"Primaria (053)",220,34,186
"Secundaria (054)",227,75,152
"Superior no univ. incompleta (055)",30,9,21
"Superior no univ. completa (056)",97,27,70
"Superior univ. incompleta (057)",12,5,7
"Superior univ. completa (058)",36,8,28
"De 14 a 29 años (060)",352,125,227
"Sin nivel (061)",8,3,5
"Primaria (063)",76,21,55
"Secundaria (064)",160,65,95
"Superior no univ. incompleta (065)",16,7,9
"Superior no univ. completa (066)",62,20,42
"Superior univ. incompleta (067)",8,4,4
"Superior univ. completa (068)",22,5,17
"De 30 a 44 años (070)",195,34,161
"Sin nivel (071)",9,2,7
"Primaria (073)",82,11,71
"Secundaria (074)",49,10,39
"Superior no univ. incompleta (075)",8,1,7
"Superior no univ. completa (076)",32,6,26
"Superior univ. incompleta (077)",3,1,2
"Superior univ. completa (078)",12,3,9
"De 45 a 64 años (080)",93,5,88
"Sin nivel (081)",15,1,14
"Primaria (083)",49,2,47
"Secundaria (084)",17,,17
"Superior no univ. incompleta (085)",6,1,5
"Superior no univ. completa (086)",3,1,2
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",2,,2
"De 65 y más años (090)",23,,23
"Sin nivel (091)",9,,9
"Primaria (093)",13,,13
"Secundaria (094)",1,,1
,,,
"AREA RURAL (100)",187,110,77
"Sin nivel (101)",13,3,10
"Primaria (103)",89,48,41
"Secundaria (104)",74,51,23
"Superior no univ. incompleta (105)",3,2,1
"Superior no univ. completa (106)",7,5,2
"Superior univ. incompleta (107)",1,1,
"De 14 a 29 años (110)",118,80,38
"Sin nivel (111)",4,1,3
"Primaria (113)",57,37,20
"Secundaria (114)",48,34,14
"Superior no univ. incompleta (115)",2,2,
"Superior no univ. completa (116)",6,5,1
"Superior univ. incompleta (117)",1,1,
"De 30 a 44 años (120)",44,24,20
"Sin nivel (121)",3,1,2
"Primaria (123)",16,8,8
"Secundaria (124)",24,15,9
"Superior no univ. incompleta (125)",1,,1
"De 45 a 64 años (130)",20,6,14
"Sin nivel (131)",4,1,3
"Primaria (133)",13,3,10
"Secundaria (134)",2,2,
"Superior no univ. completa (136)",1,,1
"De 65 y más años (140)",5,,5
"Sin nivel (141)",2,,2
"Primaria (143)",3,,3
