"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN IGNACIO (000)",110773,11073,1563,66028,26494,1608,1737,786,1484
"Hombres (001)",59267,4027,811,35929,15422,841,962,439,836
"Mujeres (002)",51506,7046,752,30099,11072,767,775,347,648
"PEA (003)",44675,4395,41,24745,11454,857,1441,446,1296
"Hombres (004)",35798,3060,32,20523,9661,588,891,286,757
"Mujeres (005)",8877,1335,9,4222,1793,269,550,160,539
"Ocupada (006)",43839,4331,41,24328,11185,834,1409,436,1275
"Hombres (007)",35163,3019,32,20174,9460,576,874,280,748
"Mujeres (008)",8676,1312,9,4154,1725,258,535,156,527
"Desocupada (009)",836,64,,417,269,23,32,10,21
"Hombres (010)",635,41,,349,201,12,17,6,9
"Mujeres (011)",201,23,,68,68,11,15,4,12
"No PEA (012)",66098,6678,1522,41283,15040,751,296,340,188
"Hombres (013)",23469,967,779,15406,5761,253,71,153,79
"Mujeres (014)",42629,5711,743,25877,9279,498,225,187,109
,,,,,,,,,
"URBANA (018)",18165,905,271,7325,6302,927,1053,451,931
"Hombres (019)",9294,317,150,3696,3322,458,582,243,526
"Mujeres (020)",8871,588,121,3629,2980,469,471,208,405
"PEA (021)",7802,344,6,2251,2768,482,879,261,811
"Hombres (022)",5404,210,5,1658,2051,309,537,156,478
"Mujeres (023)",2398,134,1,593,717,173,342,105,333
"Ocupada (024)",7544,335,6,2171,2664,465,855,251,797
"Hombres (025)",5231,204,5,1596,1977,301,525,150,473
"Mujeres (026)",2313,131,1,575,687,164,330,101,324
"Desocupada (027)",258,9,,80,104,17,24,10,14
"Hombres (028)",173,6,,62,74,8,12,6,5
"Mujeres (029)",85,3,,18,30,9,12,4,9
"No PEA (030)",10363,561,265,5074,3534,445,174,190,120
"Hombres (031)",3890,107,145,2038,1271,149,45,87,48
"Mujeres (032)",6473,454,120,3036,2263,296,129,103,72
,,,,,,,,,
"RURAL (036)",92608,10168,1292,58703,20192,681,684,335,553
"Hombres (037)",49973,3710,661,32233,12100,383,380,196,310
"Mujeres (038)",42635,6458,631,26470,8092,298,304,139,243
"PEA (039)",36873,4051,35,22494,8686,375,562,185,485
"Hombres (040)",30394,2850,27,18865,7610,279,354,130,279
"Mujeres (041)",6479,1201,8,3629,1076,96,208,55,206
"Ocupada (042)",36295,3996,35,22157,8521,369,554,185,478
"Hombres (043)",29932,2815,27,18578,7483,275,349,130,275
"Mujeres (044)",6363,1181,8,3579,1038,94,205,55,203
"Desocupada (045)",578,55,,337,165,6,8,,7
"Hombres (046)",462,35,,287,127,4,5,,4
"Mujeres (047)",116,20,,50,38,2,3,,3
"No PEA (048)",55735,6117,1257,36209,11506,306,122,150,68
"Hombres (049)",19579,860,634,13368,4490,104,26,66,31
"Mujeres (050)",36156,5257,623,22841,7016,202,96,84,37
