"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ATALAYA (000)",42896,1526,18526,11219,6775,3981,869
"Jefe o Jefa (001)",9525,,40,3015,3564,2367,539
"Esposa(o) / compañera(o) (002)",6681,,58,2993,2375,1111,144
"Hijo(a) / hijastro(a) (003)",20110,1209,15260,3376,233,32,
"Yerno / nuera (004)",370,,16,277,65,12,
"Nieto(a) (005)",1476,163,1198,112,3,,
"Padres / suegros (006)",288,,,2,27,156,103
"Otro(a) pariente (007)",3648,148,1789,1107,327,207,70
"Trabajador(a) del hogar (008)",80,,13,46,15,6,
"Pensionistas (009)",67,,8,26,20,12,1
"Otro(a) no pariente (010)",651,6,144,265,146,78,12
"Hombres (011)",22129,754,9535,5466,3593,2270,511
"Jefe o Jefa (012)",7752,,29,2419,2950,1935,419
"Esposa(o) / compañera(o) (013)",307,,8,117,116,57,9
"Hijo(a) / hijastro(a) (014)",10503,592,7857,1898,140,16,
"Yerno / nuera (015)",180,,4,119,47,10,
"Nieto(a) (016)",754,87,593,72,2,,
"Padres / suegros (017)",126,,,1,16,68,41
"Otro(a) pariente (018)",2001,70,960,640,188,109,34
"Trabajador(a) del hogar (019)",24,,3,8,10,3,
"Pensionistas (020)",49,,6,17,16,9,1
"Otro(a) no pariente (021)",433,5,75,175,108,63,7
"Mujeres (022)",20767,772,8991,5753,3182,1711,358
"Jefe o Jefa (023)",1773,,11,596,614,432,120
"Esposa(o) / compañera(o) (024)",6374,,50,2876,2259,1054,135
"Hijo(a) / hijastro(a) (025)",9607,617,7403,1478,93,16,
"Yerno / nuera (026)",190,,12,158,18,2,
"Nieto(a) (027)",722,76,605,40,1,,
"Padres / suegros (028)",162,,,1,11,88,62
"Otro(a) pariente (029)",1647,78,829,467,139,98,36
"Trabajador(a) del hogar (030)",56,,10,38,5,3,
"Pensionistas (031)",18,,2,9,4,3,
"Otro(a) no pariente (032)",218,1,69,90,38,15,5
,,,,,,,
"URBANA (033)",14435,419,5486,3927,2678,1541,384
"Jefe o Jefa (034)",3334,,10,769,1399,929,227
"Esposa(o) / compañera(o) (035)",2064,,9,749,861,388,57
"Hijo(a) / hijastro(a) (036)",6344,303,4375,1512,132,22,
"Yerno / nuera (037)",198,,5,139,47,7,
"Nieto(a) (038)",641,80,510,49,2,,
"Padres / suegros (039)",147,,,,8,72,67
"Otro(a) pariente (040)",1154,30,454,462,121,60,27
"Trabajador(a) del hogar (041)",56,,11,38,5,2,
"Pensionistas (042)",42,,6,14,11,10,1
"Otro(a) no pariente (043)",455,6,106,195,92,51,5
"Hombres (044)",7331,213,2799,1840,1365,889,225
"Jefe o Jefa (045)",2446,,3,505,1038,724,176
"Esposa(o) / compañera(o) (046)",164,,5,50,72,30,7
"Hijo(a) / hijastro(a) (047)",3304,154,2244,816,80,10,
"Yerno / nuera (048)",87,,2,46,32,7,
"Nieto(a) (049)",327,40,251,34,2,,
"Padres / suegros (050)",62,,,,5,33,24
"Otro(a) pariente (051)",624,14,237,259,67,33,14
"Trabajador(a) del hogar (052)",8,,2,3,1,2,
"Pensionistas (053)",27,,4,7,8,7,1
"Otro(a) no pariente (054)",282,5,51,120,60,43,3
"Mujeres (055)",7104,206,2687,2087,1313,652,159
"Jefe o Jefa (056)",888,,7,264,361,205,51
"Esposa(o) / compañera(o) (057)",1900,,4,699,789,358,50
"Hijo(a) / hijastro(a) (058)",3040,149,2131,696,52,12,
"Yerno / nuera (059)",111,,3,93,15,,
"Nieto(a) (060)",314,40,259,15,,,
"Padres / suegros (061)",85,,,,3,39,43
"Otro(a) pariente (062)",530,16,217,203,54,27,13
"Trabajador(a) del hogar (063)",48,,9,35,4,,
"Pensionistas (064)",15,,2,7,3,3,
"Otro(a) no pariente (065)",173,1,55,75,32,8,2
,,,,,,,
"RURAL (066)",28461,1107,13040,7292,4097,2440,485
"Jefe o Jefa (067)",6191,,30,2246,2165,1438,312
"Esposa(o) / compañera(o) (068)",4617,,49,2244,1514,723,87
"Hijo(a) / hijastro(a) (069)",13766,906,10885,1864,101,10,
"Yerno / nuera (070)",172,,11,138,18,5,
"Nieto(a) (071)",835,83,688,63,1,,
"Padres / suegros (072)",141,,,2,19,84,36
"Otro(a) pariente (073)",2494,118,1335,645,206,147,43
"Trabajador(a) del hogar (074)",24,,2,8,10,4,
"Pensionistas (075)",25,,2,12,9,2,
"Otro(a) no pariente (076)",196,,38,70,54,27,7
"Hombres (077)",14798,541,6736,3626,2228,1381,286
"Jefe o Jefa (078)",5306,,26,1914,1912,1211,243
"Esposa(o) / compañera(o) (079)",143,,3,67,44,27,2
"Hijo(a) / hijastro(a) (080)",7199,438,5613,1082,60,6,
"Yerno / nuera (081)",93,,2,73,15,3,
"Nieto(a) (082)",427,47,342,38,,,
"Padres / suegros (083)",64,,,1,11,35,17
"Otro(a) pariente (084)",1377,56,723,381,121,76,20
"Trabajador(a) del hogar (085)",16,,1,5,9,1,
"Pensionistas (086)",22,,2,10,8,2,
"Otro(a) no pariente (087)",151,,24,55,48,20,4
"Mujeres (088)",13663,566,6304,3666,1869,1059,199
"Jefe o Jefa (089)",885,,4,332,253,227,69
"Esposa(o) / compañera(o) (090)",4474,,46,2177,1470,696,85
"Hijo(a) / hijastro(a) (091)",6567,468,5272,782,41,4,
"Yerno / nuera (092)",79,,9,65,3,2,
"Nieto(a) (093)",408,36,346,25,1,,
"Padres / suegros (094)",77,,,1,8,49,19
"Otro(a) pariente (095)",1117,62,612,264,85,71,23
"Trabajador(a) del hogar (096)",8,,1,3,1,3,
"Pensionistas (097)",3,,,2,1,,
"Otro(a) no pariente (098)",45,,14,15,6,7,3
