"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MARISCAL NIETO (000)",20556,181,5735,6849,3028,1178,509,142,20,,2914
"Sin Nivel (001)",2977,48,923,981,331,142,93,47,7,,405
"Educación Inicial (002)",23,,5,8,5,,,,,,5
"Primaria (003)",4307,47,1566,1423,498,217,131,32,5,,388
"Secundaria (004)",5190,51,1835,1801,553,192,81,18,4,,655
"Sup. no Univ. Incompleta (005)",1627,11,410,594,221,54,28,4,,,305
"Sup. no Univ. Completa (006)",2816,9,448,971,618,219,68,18,3,,462
"Sup. Univ. Incompleta (007)",995,4,223,328,140,53,22,4,,,221
"Sup. Univ. Completa (008)",2621,11,325,743,662,301,86,19,1,,473
,,,,,,,,,,,
"URBANA (010)",17883,154,4860,5896,2706,1066,456,127,17,,2601
"Sin Nivel (011)",2203,42,658,705,238,119,76,39,5,,321
"Educación Inicial (012)",23,,5,8,5,,,,,,5
"Primaria (013)",3520,37,1284,1150,412,175,111,29,5,,317
"Secundaria (014)",4528,43,1592,1558,490,168,70,17,3,,587
"Sup. no Univ. Incompleta (015)",1508,10,382,541,206,50,27,3,,,289
"Sup. no Univ. Completa (016)",2614,7,412,902,577,207,65,17,3,,424
"Sup. Univ. Incompleta (017)",958,4,217,314,136,52,22,3,,,210
"Sup. Univ. Completa (018)",2529,11,310,718,642,295,85,19,1,,448
,,,,,,,,,,,
"RURAL (020)",2673,27,875,953,322,112,53,15,3,,313
"Sin Nivel (021)",774,6,265,276,93,23,17,8,2,,84
"Primaria (023)",787,10,282,273,86,42,20,3,,,71
"Secundaria (024)",662,8,243,243,63,24,11,1,1,,68
"Sup. no Univ. Incompleta (025)",119,1,28,53,15,4,1,1,,,16
"Sup. no Univ. Completa (026)",202,2,36,69,41,12,3,1,,,38
"Sup. Univ. Incompleta (027)",37,,6,14,4,1,,1,,,11
"Sup. Univ. Completa (028)",92,,15,25,20,6,1,,,,25
