"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONDESUYOS (000)",17949,4662,3739,675,9047
"Quechua (001)",4734,1569,852,135,2242
"Aymara (002)",79,9,26,6,40
"Asháninka (003)",3,1,,1,1
"Otra lengua nativa (004)",8,3,1,,4
"Castellano (005)",13107,3069,2859,532,6755
"Es Sordomudo/a (007)",18,11,1,1,5
"Hombres (009)",9985,2186,2692,489,4776
"Quechua (010)",2639,714,746,114,1128
"Aymara (011)",50,4,21,6,21
"Asháninka (012)",2,1,,1,
"Otra lengua nativa (013)",4,1,1,,2
"Castellano (014)",7278,1460,1923,367,3621
"Es Sordomudo/a (016)",12,6,1,1,4
"Mujeres (018)",7964,2476,1047,186,4271
"Quechua (019)",2095,855,106,21,1114
"Aymara (020)",29,5,5,,19
"Asháninka (021)",1,,,,1
"Otra lengua nativa (022)",4,2,,,2
"Castellano (023)",5829,1609,936,165,3134
"Es Sordomudo/a (025)",6,5,,,1
,,,,,
"URBANA (027)",7347,1644,1903,400,3432
"Quechua (028)",1085,271,202,49,566
"Aymara (029)",39,5,11,5,20
"Otra lengua nativa (031)",7,3,1,,3
"Castellano (032)",6209,1361,1688,346,2841
"Es Sordomudo/a (034)",7,4,1,,2
"Hombres (036)",3752,767,1057,261,1685
"Quechua (037)",545,122,130,36,259
"Aymara (038)",22,3,7,5,9
"Otra lengua nativa (040)",3,1,1,,1
"Castellano (041)",3176,638,918,220,1414
"Es Sordomudo/a (043)",6,3,1,,2
"Mujeres (045)",3595,877,846,139,1747
"Quechua (046)",540,149,72,13,307
"Aymara (047)",17,2,4,,11
"Otra lengua nativa (049)",4,2,,,2
"Castellano (050)",3033,723,770,126,1427
"Es Sordomudo/a (052)",1,1,,,
,,,,,
"RURAL (054)",10602,3018,1836,275,5615
"Quechua (055)",3649,1298,650,86,1676
"Aymara (056)",40,4,15,1,20
"Asháninka (057)",3,1,,1,1
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",6898,1708,1171,186,3914
"Es Sordomudo/a (061)",11,7,,1,3
"Hombres (063)",6233,1419,1635,228,3091
"Quechua (064)",2094,592,616,78,869
"Aymara (065)",28,1,14,1,12
"Asháninka (066)",2,1,,1,
"Otra lengua nativa (067)",1,,,,1
"Castellano (068)",4102,822,1005,147,2207
"Es Sordomudo/a (070)",6,3,,1,2
"Mujeres (072)",4369,1599,201,47,2524
"Quechua (073)",1555,706,34,8,807
"Aymara (074)",12,3,1,,8
"Asháninka (075)",1,,,,1
"Castellano (077)",2796,886,166,39,1707
"Es Sordomudo/a (079)",5,4,,,1
