"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TAMBOPATA (000)",18932,412,8235,5484,1661,517,230,62,5,,2326
"Catolica (001)",15051,310,6491,4419,1359,433,182,47,3,,1807
"Cristiana / Evangelica (002)",2314,52,1076,632,181,50,28,6,1,,288
"Otra (003)",940,21,400,274,79,21,16,6,1,,122
"Ninguna (004)",627,29,268,159,42,13,4,3,,,109
,,,,,,,,,,,
"URBANA (006)",16109,319,6802,4767,1496,466,210,54,5,,1990
"Catolica (007)",12855,242,5379,3860,1235,391,168,41,3,,1536
"Cristiana / Evangelica (008)",1906,37,852,540,150,43,23,5,1,,255
"Otra (009)",829,18,355,235,74,20,15,5,1,,106
"Ninguna (010)",519,22,216,132,37,12,4,3,,,93
,,,,,,,,,,,
"RURAL (012)",2823,93,1433,717,165,51,20,8,,,336
"Catolica (013)",2196,68,1112,559,124,42,14,6,,,271
"Cristiana / Evangelica (014)",408,15,224,92,31,7,5,1,,,33
"Otra (015)",111,3,45,39,5,1,1,1,,,16
"Ninguna (016)",108,7,52,27,5,1,,,,,16
