"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JULCAN (000)",7994,116,3414,2516,752,280,134,61,11,,710
"Catolica (001)",5703,79,2414,1789,534,207,97,42,8,,533
"Cristiana / Evangelica (002)",1473,16,630,482,140,47,25,16,2,,115
"Otra (003)",511,9,227,166,55,15,5,2,,,32
"Ninguna (004)",307,12,143,79,23,11,7,1,1,,30
,,,,,,,,,,,
"URBANA (006)",1345,12,490,439,141,70,36,9,,,148
"Catolica (007)",948,10,339,312,97,51,24,7,,,108
"Cristiana / Evangelica (008)",255,1,96,90,27,9,9,2,,,21
"Otra (009)",91,,35,23,12,6,2,,,,13
"Ninguna (010)",51,1,20,14,5,4,1,,,,6
,,,,,,,,,,,
"RURAL (012)",6649,104,2924,2077,611,210,98,52,11,,562
"Catolica (013)",4755,69,2075,1477,437,156,73,35,8,,425
"Cristiana / Evangelica (014)",1218,15,534,392,113,38,16,14,2,,94
"Otra (015)",420,9,192,143,43,9,3,2,,,19
"Ninguna (016)",256,11,123,65,18,7,6,1,1,,24
