"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN ROMAN (000)",224870,20513,5106,67184,79171,10607,10302,15534,16453
"Jefe o Jefa (001)",63648,3864,29,17326,23389,3215,4295,3889,7641
"Esposa(o)/ compa¤era(o) (002)",35391,2877,21,12100,12454,1426,2144,1460,2909
"Hijo(a)/ hijastro(a) (003)",94616,9960,4183,29700,31756,4294,2493,8053,4177
"Yerno/ nuera (004)",3227,21,3,298,1480,284,379,314,448
"Nieto(a) (005)",5511,1283,547,2183,1131,82,42,187,56
"Padres/ suegros (006)",2315,1176,,842,201,13,14,13,56
"Otro(a) pariente (007)",14829,1056,276,3723,6261,897,639,1182,795
"Trabajador(a) del hogar (008)",470,17,2,121,286,28,3,8,5
"Pensionista (009)",140,4,,22,55,14,6,23,16
"Otro(a) no pariente (010)",4723,255,45,869,2158,354,287,405,350
"Hombres (012)",109383,7365,2543,29270,41252,5591,5182,8851,9329
"Jefe o Jefa (013)",43424,1028,14,10392,17400,2313,3229,2914,6134
"Esposa(o)/ compa¤era(o) (014)",2445,63,,368,1094,227,157,257,279
"Hijo(a)/ hijastro(a) (015)",48455,5005,2098,14794,16836,2206,1121,4464,1931
"Yerno/ nuera (016)",1476,7,1,98,611,130,194,165,270
"Nieto(a) (017)",2800,621,266,1153,573,40,17,107,23
"Padres/ suegros (018)",668,151,,369,100,5,7,8,28
"Otro(a) pariente (019)",7599,413,143,1714,3363,482,328,702,454
"Trabajador(a) del hogar (020)",85,3,,15,55,9,1,1,1
"Pensionista (021)",76,1,,13,27,7,2,14,12
"Otro(a) no pariente (022)",2355,73,21,354,1193,172,126,219,197
"Mujeres (024)",115487,13148,2563,37914,37919,5016,5120,6683,7124
"Jefe o Jefa (025)",20224,2836,15,6934,5989,902,1066,975,1507
"Esposa(o)/ compa¤era(o) (026)",32946,2814,21,11732,11360,1199,1987,1203,2630
"Hijo(a)/ hijastro(a) (027)",46161,4955,2085,14906,14920,2088,1372,3589,2246
"Yerno/ nuera (028)",1751,14,2,200,869,154,185,149,178
"Nieto(a) (029)",2711,662,281,1030,558,42,25,80,33
"Padres/ suegros (030)",1647,1025,,473,101,8,7,5,28
"Otro(a) pariente (031)",7230,643,133,2009,2898,415,311,480,341
"Trabajador(a) del hogar (032)",385,14,2,106,231,19,2,7,4
"Pensionista (033)",64,3,,9,28,7,4,9,4
"Otro(a) no pariente (034)",2368,182,24,515,965,182,161,186,153
,,,,,,,,,
"URBANA (036)",205917,16719,4710,58523,73855,10362,10133,15324,16291
"Jefe o Jefa (037)",57685,2520,26,14439,21916,3163,4231,3834,7556
"Esposa(o)/ compa¤era(o) (038)",32193,1993,19,10410,11893,1409,2130,1454,2885
"Hijo(a)/ hijastro(a) (039)",86555,8850,3849,26276,28958,4144,2420,7924,4134
"Yerno/ nuera (040)",2975,15,3,213,1340,275,372,313,444
"Nieto(a) (041)",4880,1121,505,1911,993,74,39,182,55
"Padres/ suegros (042)",2110,1019,,797,199,13,14,13,55
