"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YAUYOS (000)",26095,1059,5522,3741,4011,3712,2714,1885,3451
"Quechua (001)",815,6,38,19,84,166,123,105,274
"Aymara (002)",6,1,,1,,2,,,2
"Ashaninca (003)",2,,2,,,,,,
"Otra lengua nativa (004)",842,31,156,106,131,113,86,79,140
"Castellano (005)",24343,1020,5319,3603,3782,3415,2492,1690,3022
"Es sordomudo/a (007)",87,1,7,12,14,16,13,11,13
"Hombres (009)",14273,545,2855,2117,2389,2195,1543,973,1656
"Quechua (010)",425,2,25,9,47,106,67,55,114
"Aymara (011)",2,,,1,,,,,1
"Ashaninca (012)",2,,2,,,,,,
"Otra lengua nativa (013)",451,19,87,37,78,61,51,43,75
"Castellano (014)",13331,523,2736,2061,2259,2016,1413,864,1459
"Es sordomudo/a (016)",62,1,5,9,5,12,12,11,7
"Mujeres (018)",11822,514,2667,1624,1622,1517,1171,912,1795
"Quechua (019)",390,4,13,10,37,60,56,50,160
"Aymara (020)",4,1,,,,2,,,1
"Otra lengua nativa (022)",391,12,69,69,53,52,35,36,65
"Castellano (023)",11012,497,2583,1542,1523,1399,1079,826,1563
"Es sordomudo/a (025)",25,,2,3,9,4,1,,6
,,,,,,,,,
"URBANA (027)",14952,600,3380,2098,2058,2047,1538,1068,2163
"Quechua (028)",245,,,6,27,50,47,32,83
"Aymara (029)",4,1,,,,2,,,1
"Ashaninca (030)",1,,1,,,,,,
"Otra lengua nativa (031)",415,14,83,50,58,62,48,34,66
"Castellano (032)",14250,585,3292,2034,1962,1925,1438,1002,2012
"Es sordomudo/a (034)",37,,4,8,11,8,5,,1
"Hombres (036)",7595,318,1747,1108,1044,1028,806,533,1011
"Quechua (037)",111,,,1,17,30,22,15,26
"Ashaninca (039)",1,,1,,,,,,
"Otra lengua nativa (040)",200,9,43,20,30,30,26,15,27
"Castellano (041)",7262,309,1700,1080,994,964,754,503,958
"Es sordomudo/a (043)",21,,3,7,3,4,4,,
"Mujeres (045)",7357,282,1633,990,1014,1019,732,535,1152
"Quechua (046)",134,,,5,10,20,25,17,57
"Aymara (047)",4,1,,,,2,,,1
"Otra lengua nativa (049)",215,5,40,30,28,32,22,19,39
"Castellano (050)",6988,276,1592,954,968,961,684,499,1054
"Es sordomudo/a (052)",16,,1,1,8,4,1,,1
,,,,,,,,,
"RURAL (054)",11143,459,2142,1643,1953,1665,1176,817,1288
"Quechua (055)",570,6,38,13,57,116,76,73,191
"Aymara (056)",2,,,1,,,,,1
"Ashaninca (057)",1,,1,,,,,,
"Otra lengua nativa (058)",427,17,73,56,73,51,38,45,74
"Castellano (059)",10093,435,2027,1569,1820,1490,1054,688,1010
"Es sordomudo/a (061)",50,1,3,4,3,8,8,11,12
"Hombres (063)",6678,227,1108,1009,1345,1167,737,440,645
"Quechua (064)",314,2,25,8,30,76,45,40,88
"Aymara (065)",2,,,1,,,,,1
"Ashaninca (066)",1,,1,,,,,,
"Otra lengua nativa (067)",251,10,44,17,48,31,25,28,48
"Castellano (068)",6069,214,1036,981,1265,1052,659,361,501
"Es sordomudo/a (070)",41,1,2,2,2,8,8,11,7
"Mujeres (072)",4465,232,1034,634,608,498,439,377,643
"Quechua (073)",256,4,13,5,27,40,31,33,103
"Otra lengua nativa (076)",176,7,29,39,25,20,13,17,26
"Castellano (077)",4024,221,991,588,555,438,395,327,509
"Es sordomudo/a (079)",9,,1,2,1,,,,5
