"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia LORETO (000)",13193,627,7481,2593,605,185,116,38,8,,1540
"Catolica (001)",8762,389,4880,1772,427,131,80,23,5,,1055
"Cristiana / Evangelica (002)",3556,176,2127,669,142,41,30,13,2,,356
"Otra (003)",390,12,246,76,16,3,,1,,,36
"Ninguna (004)",485,50,228,76,20,10,6,1,1,,93
,,,,,,,,,,,
"URBANA (006)",5812,200,3057,1289,335,98,71,28,3,,731
"Catolica (007)",3884,128,1962,887,241,71,51,17,2,,525
"Cristiana / Evangelica (008)",1651,61,942,350,79,24,19,10,1,,165
"Otra (009)",177,6,101,37,8,1,,1,,,23
"Ninguna (010)",100,5,52,15,7,2,1,,,,18
,,,,,,,,,,,
"RURAL (012)",7381,427,4424,1304,270,87,45,10,5,,809
"Catolica (013)",4878,261,2918,885,186,60,29,6,3,,530
"Cristiana / Evangelica (014)",1905,115,1185,319,63,17,11,3,1,,191
"Otra (015)",213,6,145,39,8,2,,,,,13
"Ninguna (016)",385,45,176,61,13,8,5,1,1,,75
