"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CONTRALMIRANTE VILLAR",,,,,,,
"Viviendas particulares (001)",4113,277,647,271,2674,110,134
"Ocupantes presentes (002)",16623,948,2446,1167,11222,316,524
"Casa independiente",,,,,,,
"Viviendas particulares (004)",3996,258,583,269,2654,100,132
"Ocupantes presentes (005)",16246,892,2222,1162,11160,288,522
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",6,4,,,2,,
"Ocupantes presentes (008)",15,10,,,5,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",15,13,,,1,1,
"Ocupantes presentes (011)",46,39,,,4,3,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",6,,,,6,,
"Ocupantes presentes (014)",25,,,,25,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",74,,64,2,4,3,1
"Ocupantes presentes (017)",246,,224,5,9,7,1
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",1,,,,,,1
"Ocupantes presentes (020)",1,,,,,,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",6,1,,,,5,
"Ocupantes presentes (023)",21,4,,,,17,
"Otro tipo",,,,,,,
"Viviendas particulares (025)",9,1,,,7,1,
"Ocupantes presentes (026)",23,3,,,19,1,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",3062,247,401,238,1986,77,113
"Ocupantes presentes (029)",12960,864,1634,1060,8720,233,449
"Casa independiente",,,,,,,
"Viviendas particulares (031)",3020,228,401,238,1970,71,112
"Ocupantes presentes (032)",12833,808,1634,1060,8667,216,448
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",6,4,,,2,,
"Ocupantes presentes (035)",15,10,,,5,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",15,13,,,1,1,
"Ocupantes presentes (038)",46,39,,,4,3,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",6,,,,6,,
"Ocupantes presentes (041)",25,,,,25,,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",1,,,,,,1
"Ocupantes presentes (047)",1,,,,,,1
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",5,1,,,,4,
"Ocupantes presentes (050)",17,4,,,,13,
"Otro tipo",,,,,,,
"Viviendas particulares (052)",9,1,,,7,1,
"Ocupantes presentes (053)",23,3,,,19,1,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",1051,30,246,33,688,33,21
"Ocupantes presentes (056)",3663,84,812,107,2502,83,75
"Casa independiente",,,,,,,
"Viviendas particulares (058)",976,30,182,31,684,29,20
"Ocupantes presentes (059)",3413,84,588,102,2493,72,74
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",74,,64,2,4,3,1
"Ocupantes presentes (071)",246,,224,5,9,7,1
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",1,,,,,1,
"Ocupantes presentes (077)",4,,,,,4,
"Otro tipo",,,,,,,
