"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia OXAPAMPA (000)",562,138,424
"De 14 a 29 años (001)",339,118,221
"De 30 a 44 años (002)",139,18,121
"De 45 a 64 años (003)",66,2,64
"De 65 y más años (004)",18,,18
"Hombres (005)",405,87,318
"De 14 a 29 años (006)",221,71,150
"De 30 a 44 años (007)",108,14,94
"De 45 a 64 años (008)",59,2,57
"De 65 y más años (009)",17,,17
"Mujeres (010)",157,51,106
"De 14 a 29 años (011)",118,47,71
"De 30 a 44 años (012)",31,4,27
"De 45 a 64 años (013)",7,,7
"De 65 y más años (014)",1,,1
,,,
"AREA URBANA (015)",314,56,258
"De 14 a 29 años (016)",175,52,123
"De 30 a 44 años (017)",88,4,84
"De 45 a 64 años (018)",43,,43
"De 65 y más años (019)",8,,8
"Hombres (020)",209,29,180
"De 14 a 29 años (021)",101,27,74
"De 30 a 44 años (022)",62,2,60
"De 45 a 64 años (023)",38,,38
"De 65 y más años (024)",8,,8
"Mujeres (025)",105,27,78
"De 14 a 29 años (026)",74,25,49
"De 30 a 44 años (027)",26,2,24
"De 45 a 64 años (028)",5,,5
,,,
"AREA RURAL (030)",248,82,166
"De 14 a 29 años (031)",164,66,98
"De 30 a 44 años (032)",51,14,37
"De 45 a 64 años (033)",23,2,21
"De 65 y más años (034)",10,,10
"Hombres (035)",196,58,138
"De 14 a 29 años (036)",120,44,76
"De 30 a 44 años (037)",46,12,34
"De 45 a 64 años (038)",21,2,19
"De 65 y más años (039)",9,,9
"Mujeres (040)",52,24,28
"De 14 a 29 años (041)",44,22,22
"De 30 a 44 años (042)",5,2,3
"De 45 a 64 años (043)",2,,2
"De 65 y más años (044)",1,,1
