"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia SAN MIGUEL",,,,,,,,,
"Viviendas particulares (001)",6904,451,176,41,484,12,17,38,5685
"Ocupantes presentes (002)",25971,1699,660,135,1741,42,65,122,21507
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",6884,451,176,40,482,12,17,38,5668
"Ocupantes presentes (005)",25885,1699,660,130,1738,42,65,122,21429
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",5,,,,,,,,5
"Ocupantes presentes (011)",33,,,,,,,,33
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",5,,,,,,,,5
"Ocupantes presentes (014)",17,,,,,,,,17
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",6,,,1,,,,,5
"Ocupantes presentes (017)",27,,,5,,,,,22
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,,,,2,,,,
"Ocupantes presentes (020)",3,,,,3,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",2,,,,,,,,2
"Ocupantes presentes (023)",6,,,,,,,,6
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1965,210,25,18,107,,3,6,1596
"Ocupantes presentes (029)",7075,720,99,52,353,,5,17,5829
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1953,210,25,18,105,,3,6,1586
"Ocupantes presentes (032)",7022,720,99,52,350,,5,17,5779
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",5,,,,,,,,5
"Ocupantes presentes (038)",33,,,,,,,,33
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",5,,,,,,,,5
"Ocupantes presentes (041)",17,,,,,,,,17
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,,,,2,,,,
"Ocupantes presentes (047)",3,,,,3,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",4939,241,151,23,377,12,14,32,4089
"Ocupantes presentes (056)",18896,979,561,83,1388,42,60,105,15678
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",4931,241,151,22,377,12,14,32,4082
"Ocupantes presentes (059)",18863,979,561,78,1388,42,60,105,15650
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",6,,,1,,,,,5
"Ocupantes presentes (071)",27,,,5,,,,,22
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",2,,,,,,,,2
"Ocupantes presentes (077)",6,,,,,,,,6
"Otro tipo",,,,,,,,,
