"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia SANDIA (000)",36955,35906,1049
"Hombres (001)",20310,19782,528
"Mujeres (002)",16645,16124,521
"De 18 a 29 años (003)",12671,12111,560
"Hombres (004)",6760,6427,333
"Mujeres (005)",5911,5684,227
"De 30 a 44 años (006)",12479,12389,90
"Hombres (007)",6821,6775,46
"Mujeres (008)",5658,5614,44
"De 45 a 64 años (009)",8422,8308,114
"Hombres (010)",4808,4761,47
"Mujeres (011)",3614,3547,67
"De 65 y más años (012)",3383,3098,285
"Hombres (013)",1921,1819,102
"Mujeres (014)",1462,1279,183
,,,
"URBANA (015)",9497,9295,202
"Hombres (016)",4735,4643,92
"Mujeres (017)",4762,4652,110
"De 18 a 29 años (018)",3164,3050,114
"Hombres (019)",1531,1468,63
"Mujeres (020)",1633,1582,51
"De 30 a 44 años (021)",3424,3408,16
"Hombres (022)",1675,1664,11
"Mujeres (023)",1749,1744,5
"De 45 a 64 años (024)",2084,2065,19
"Hombres (025)",1103,1099,4
"Mujeres (026)",981,966,15
"De 65 y más años (027)",825,772,53
"Hombres (028)",426,412,14
"Mujeres (029)",399,360,39
,,,
"RURAL (030)",27458,26611,847
"Hombres (031)",15575,15139,436
"Mujeres (032)",11883,11472,411
"De 18 a 29 años (033)",9507,9061,446
"Hombres (034)",5229,4959,270
"Mujeres (035)",4278,4102,176
"De 30 a 44 años (036)",9055,8981,74
"Hombres (037)",5146,5111,35
"Mujeres (038)",3909,3870,39
"De 45 a 64 años (039)",6338,6243,95
"Hombres (040)",3705,3662,43
"Mujeres (041)",2633,2581,52
"De 65 y más años (042)",2558,2326,232
"Hombres (043)",1495,1407,88
"Mujeres (044)",1063,919,144
