"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCAVELICA (000)",142723,47571,17747,3096,74565
"Menos de 1 año (001)",2947,2274,215,24,437
"De 1 a 14 años (002)",52304,35901,5836,569,10092
"De 15 a 29 años (003)",38679,6297,2947,1238,28236
"De 30 a 44 años (004)",22954,1559,4413,701,16342
"De 45 a 64 años (005)",17600,991,3408,452,12805
"De 65 y mas años (006)",8239,549,928,112,6653
"Hombres (008)",69600,23133,8960,1861,35797
"Menos de 1 año (009)",1460,1123,106,13,219
"De 1 a 14 años (010)",26527,18170,3014,286,5107
"De 15 a 29 años (011)",18699,2717,1467,723,13810
"De 30 a 44 años (012)",10878,485,2067,460,7903
"De 45 a 64 años (013)",8340,397,1781,309,5897
"De 65 y mas años (014)",3696,241,525,70,2861
"Mujeres (016)",73123,24438,8787,1235,38768
"Menos de 1 año (017)",1487,1151,109,11,218
"De 1 a 14 años (018)",25777,17731,2822,283,4985
"De 15 a 29 años (019)",19980,3580,1480,515,14426
"De 30 a 44 años (020)",12076,1074,2346,241,8439
"De 45 a 64 años (021)",9260,594,1627,143,6908
"De 65 y mas años (022)",4543,308,403,42,3792
,,,,,
"URBANA (024)",59851,10587,15469,2640,31325
"Menos de 1 año (025)",1013,557,194,20,243
"De 1 a 14 años (026)",18969,7389,5199,460,5961
"De 15 a 29 años (027)",18129,1737,2563,1100,12751
"De 30 a 44 años (028)",11117,469,3928,591,6181
"De 45 a 64 años (029)",7468,259,2838,383,4042
"De 65 y mas años (030)",3155,176,747,86,2147
"Hombres (032)",29150,5179,7667,1584,14826
"Menos de 1 año (033)",502,286,91,11,115
"De 1 a 14 años (034)",9709,3823,2672,231,3007
"De 15 a 29 años (035)",8842,732,1250,637,6232
"De 30 a 44 años (036)",5251,148,1802,390,2941
"De 45 a 64 años (037)",3521,107,1444,264,1748
"De 65 y mas años (038)",1325,83,408,51,783
"Mujeres (040)",30701,5408,7802,1056,16499
"Menos de 1 año (041)",511,271,103,9,128
"De 1 a 14 años (042)",9260,3566,2527,229,2954
"De 15 a 29 años (043)",9287,1005,1313,463,6519
"De 30 a 44 años (044)",5866,321,2126,201,3240
"De 45 a 64 años (045)",3947,152,1394,119,2294
"De 65 y mas años (046)",1830,93,339,35,1364
,,,,,
"RURAL (048)",82872,36984,2278,456,43240
"Menos de 1 año (049)",1934,1717,21,4,194
"De 1 a 14 años (050)",33335,28512,637,109,4131
"De 15 a 29 años (051)",20550,4560,384,138,15485
"De 30 a 44 años (052)",11837,1090,485,110,10161
"De 45 a 64 años (053)",10132,732,570,69,8763
"De 65 y mas años (054)",5084,373,181,26,4506
"Hombres (056)",40450,17954,1293,277,20971
"Menos de 1 año (057)",958,837,15,2,104
"De 1 a 14 años (058)",16818,14347,342,55,2100
"De 15 a 29 años (059)",9857,1985,217,86,7578
"De 30 a 44 años (060)",5627,337,265,70,4962
"De 45 a 64 años (061)",4819,290,337,45,4149
"De 65 y mas años (062)",2371,158,117,19,2078
"Mujeres (064)",42422,19030,985,179,22269
"Menos de 1 año (065)",976,880,6,2,90
"De 1 a 14 años (066)",16517,14165,295,54,2031
"De 15 a 29 años (067)",10693,2575,167,52,7907
"De 30 a 44 años (068)",6210,753,220,40,5199
"De 45 a 64 años (069)",5313,442,233,24,4614
"De 65 y mas años (070)",2713,215,64,7,2428
