"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BAGUA (000)",65887,9994,1934,30383,17003,1950,2446,758,1419
"Jefe o Jefa (001)",17055,1712,40,8000,4653,627,1035,252,736
"Esposa(o)/ compa¤era(o) (002)",11354,1913,46,5577,2609,283,526,118,282
"Hijo(a)/ hijastro(a) (003)",28574,4734,1500,13068,7427,760,586,288,211
"Yerno/ nuera (004)",833,22,,257,374,57,72,18,33
"Nieto(a) (005)",2698,650,232,1269,483,29,16,11,8
"Padres/ suegros (006)",576,285,,229,40,5,13,1,3
"Otro(a) pariente (007)",3876,604,112,1643,1113,140,127,50,87
"Trabajador(a) del hogar (008)",136,6,,66,56,7,,1,
"Pensionista (009)",60,2,,15,19,1,11,1,11
"Otro(a) no pariente (010)",725,66,4,259,229,41,60,18,48
"Hombres (012)",33596,3915,997,15614,9707,987,1204,396,776
"Jefe o Jefa (013)",13299,827,34,6495,3916,469,789,191,578
"Esposa(o)/ compa¤era(o) (014)",457,28,1,183,171,14,32,8,20
"Hijo(a)/ hijastro(a) (015)",15203,2345,766,6945,4315,353,244,150,85
"Yerno/ nuera (016)",364,9,,124,148,23,36,7,17
"Nieto(a) (017)",1390,316,127,633,286,14,9,3,2
"Padres/ suegros (018)",192,57,,104,20,3,5,1,2
"Otro(a) pariente (019)",2228,294,65,958,690,93,57,27,44
"Trabajador(a) del hogar (020)",12,,,7,5,,,,
"Pensionista (021)",35,2,,12,12,,3,,6
"Otro(a) no pariente (022)",416,37,4,153,144,18,29,9,22
"Mujeres (024)",32291,6079,937,14769,7296,963,1242,362,643
"Jefe o Jefa (025)",3756,885,6,1505,737,158,246,61,158
"Esposa(o)/ compa¤era(o) (026)",10897,1885,45,5394,2438,269,494,110,262
"Hijo(a)/ hijastro(a) (027)",13371,2389,734,6123,3112,407,342,138,126
"Yerno/ nuera (028)",469,13,,133,226,34,36,11,16
"Nieto(a) (029)",1308,334,105,636,197,15,7,8,6
"Padres/ suegros (030)",384,228,,125,20,2,8,,1
"Otro(a) pariente (031)",1648,310,47,685,423,47,70,23,43
"Trabajador(a) del hogar (032)",124,6,,59,51,7,,1,
"Pensionista (033)",25,,,3,7,1,8,1,5
"Otro(a) no pariente (034)",309,29,,106,85,23,31,9,26
,,,,,,,,,
"URBANA (036)",31132,3014,821,11299,10273,1636,2125,686,1278
"Jefe o Jefa (037)",8623,526,7,3165,2656,513,861,228,667
"Esposa(o)/ compa¤era(o) (038)",5179,490,3,1957,1619,251,487,114,258
"Hijo(a)/ hijastro(a) (039)",12350,1340,638,4370,4404,633,517,253,195
"Yerno/ nuera (040)",452,6,,82,218,44,56,15,31
"Nieto(a) (041)",1433,294,134,635,314,26,15,8,7
"Padres/ suegros (042)",364,138,,169,36,5,13,1,2
"Otro(a) pariente (043)",2044,177,36,698,772,121,118,48,74
"Trabajador(a) del hogar (044)",113,4,,47,54,7,,1,
"Pensionista (045)",41,2,,10,15,1,7,1,5
