"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia DANIEL ALCIDES CARRION (000)",12981,7614,5367
"Casa independiente (001)",12145,7321,4824
"Departamento en edificio (002)",7,7,
"Vivienda en quinta (003)",133,133,
"Vivienda en casa de vecindad (004)",141,141,
"Choza o cabaña (005)",536,,536
"Vivienda improvisada (006)",7,7,
"Local no dest.para hab. humana (007)",9,3,6
"Otro tipo (008)",3,2,1
