"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ANGARAES (000)",46686,14774,13081,8479,7109,3243
"Hombres (001)",22723,7534,6411,3976,3400,1402
"Mujeres (002)",23963,7240,6670,4503,3709,1841
"PEA (003)",12126,272,3704,4107,3136,907
"Hombres (004)",8831,137,2668,3017,2361,648
"Mujeres (005)",3295,135,1036,1090,775,259
"Ocupada (006)",10966,258,3191,3748,2918,851
"Hombres (007)",7889,132,2278,2720,2165,594
"Mujeres (008)",3077,126,913,1028,753,257
"Desocupada (009)",1160,14,513,359,218,56
"Hombres (010)",942,5,390,297,196,54
"Mujeres (011)",218,9,123,62,22,2
"No PEA (012)",34560,14502,9377,4372,3973,2336
"Hombres (013)",13892,7397,3743,959,1039,754
"Mujeres (014)",20668,7105,5634,3413,2934,1582
,,,,,,
"URBANA (018)",13969,3813,4047,2867,2292,950
"Hombres (019)",6792,1934,1952,1363,1138,405
"Mujeres (020)",7177,1879,2095,1504,1154,545
"PEA (021)",5012,155,1411,1800,1304,342
"Hombres (022)",3139,73,865,1121,874,206
"Mujeres (023)",1873,82,546,679,430,136
"Ocupada (024)",4719,150,1286,1690,1257,336
"Hombres (025)",2970,72,794,1057,845,202
"Mujeres (026)",1749,78,492,633,412,134
"Desocupada (027)",293,5,125,110,47,6
"Hombres (028)",169,1,71,64,29,4
"Mujeres (029)",124,4,54,46,18,2
"No PEA (030)",8957,3658,2636,1067,988,608
"Hombres (031)",3653,1861,1087,242,264,199
"Mujeres (032)",5304,1797,1549,825,724,409
,,,,,,
"RURAL (036)",32717,10961,9034,5612,4817,2293
"Hombres (037)",15931,5600,4459,2613,2262,997
"Mujeres (038)",16786,5361,4575,2999,2555,1296
"PEA (039)",7114,117,2293,2307,1832,565
"Hombres (040)",5692,64,1803,1896,1487,442
"Mujeres (041)",1422,53,490,411,345,123
"Ocupada (042)",6247,108,1905,2058,1661,515
"Hombres (043)",4919,60,1484,1663,1320,392
"Mujeres (044)",1328,48,421,395,341,123
"Desocupada (045)",867,9,388,249,171,50
"Hombres (046)",773,4,319,233,167,50
"Mujeres (047)",94,5,69,16,4,
"No PEA (048)",25603,10844,6741,3305,2985,1728
"Hombres (049)",10239,5536,2656,717,775,555
"Mujeres (050)",15364,5308,4085,2588,2210,1173
