"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUALLAGA (000)",9085,826,1226,5178,238,1298,319
"Sin nivel (001)",372,,61,201,10,76,24
"Educación inicial (002)",9,,3,4,,1,1
"Primaria (003)",5038,37,723,3117,155,826,180
"Secundaria (004)",2656,165,390,1586,59,353,103
"Superior no univ. incompleta (005)",202,59,23,89,6,18,7
"Superior no univ. completa (006)",410,274,19,101,3,10,3
"Superior univ. incompleta (007)",85,51,5,22,1,6,
"Superior univ. completa (008)",313,240,2,58,4,8,1
"Hombres (010)",7081,461,1048,4569,216,775,12
"Sin nivel (011)",240,,46,153,10,28,3
"Educación inicial (012)",7,,3,4,,,
"Primaria (013)",4051,21,606,2818,144,459,3
"Secundaria (014)",2151,103,349,1380,52,261,6
"Superior no univ. incompleta (015)",149,35,20,75,6,13,
"Superior no univ. completa (016)",242,138,18,78,,8,
"Superior univ. incompleta (017)",55,31,4,17,,3,
"Superior univ. completa (018)",186,133,2,44,4,3,
"Mujeres (020)",2004,365,178,609,22,523,307
"Sin nivel (021)",132,,15,48,,48,21
"Educación inicial (022)",2,,,,,1,1
"Primaria (023)",987,16,117,299,11,367,177
"Secundaria (024)",505,62,41,206,7,92,97
"Superior no univ. incompleta (025)",53,24,3,14,,5,7
"Superior no univ. completa (026)",168,136,1,23,3,2,3
"Superior univ. incompleta (027)",30,20,1,5,1,3,
"Superior univ. completa (028)",127,107,,14,,5,1
,,,,,,,
"URBANA (030)",4896,759,601,2694,88,518,236
"Sin nivel (031)",111,,12,60,2,24,13
"Educación inicial (032)",3,,2,,,,1
"Primaria (033)",2146,30,290,1399,39,265,123
"Secundaria (034)",1715,154,254,994,35,190,88
"Superior no univ. incompleta (035)",176,56,18,74,5,16,7
"Superior no univ. completa (036)",364,242,18,89,3,9,3
"Superior univ. incompleta (037)",83,50,5,21,1,6,
"Superior univ. completa (038)",298,227,2,57,3,8,1
"Hombres (040)",3574,426,513,2255,71,298,11
"Sin nivel (041)",59,,7,41,2,6,3
"Educación inicial (042)",2,,2,,,,
"Primaria (043)",1627,17,238,1208,31,131,2
"Secundaria (044)",1314,96,226,820,30,136,6
"Superior no univ. incompleta (045)",129,34,17,61,5,12,
"Superior no univ. completa (046)",213,123,17,66,,7,
"Superior univ. incompleta (047)",54,31,4,16,,3,
"Superior univ. completa (048)",176,125,2,43,3,3,
"Mujeres (050)",1322,333,88,439,17,220,225
"Sin nivel (051)",52,,5,19,,18,10
"Educación inicial (052)",1,,,,,,1
"Primaria (053)",519,13,52,191,8,134,121
"Secundaria (054)",401,58,28,174,5,54,82
"Superior no univ. incompleta (055)",47,22,1,13,,4,7
"Superior no univ. completa (056)",151,119,1,23,3,2,3
"Superior univ. incompleta (057)",29,19,1,5,1,3,
"Superior univ. completa (058)",122,102,,14,,5,1
,,,,,,,
"RURAL (060)",4189,67,625,2484,150,780,83
"Sin nivel (061)",261,,49,141,8,52,11
"Educación inicial (062)",6,,1,4,,1,
"Primaria (063)",2892,7,433,1718,116,561,57
"Secundaria (064)",941,11,136,592,24,163,15
"Superior no univ. incompleta (065)",26,3,5,15,1,2,
"Superior no univ. completa (066)",46,32,1,12,,1,
"Superior univ. incompleta (067)",2,1,,1,,,
"Superior univ. completa (068)",15,13,,1,1,,
"Hombres (070)",3507,35,535,2314,145,477,1
"Sin nivel (071)",181,,39,112,8,22,
"Educación inicial (072)",5,,1,4,,,
"Primaria (073)",2424,4,368,1610,113,328,1
"Secundaria (074)",837,7,123,560,22,125,
"Superior no univ. incompleta (075)",20,1,3,14,1,1,
"Superior no univ. completa (076)",29,15,1,12,,1,
"Superior univ. incompleta (077)",1,,,1,,,
"Superior univ. completa (078)",10,8,,1,1,,
"Mujeres (080)",682,32,90,170,5,303,82
"Sin nivel (081)",80,,10,29,,30,11
"Educación inicial (082)",1,,,,,1,
"Primaria (083)",468,3,65,108,3,233,56
"Secundaria (084)",104,4,13,32,2,38,15
"Superior no univ. incompleta (085)",6,2,2,1,,1,
"Superior no univ. completa (086)",17,17,,,,,
"Superior univ. incompleta (087)",1,1,,,,,
"Superior univ. completa (088)",5,5,,,,,
