"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia VILCAS HUAMAN (000)",17102,2812,2568,2799,2630,1785,4508
"Católica (001)",14865,2465,2288,2463,2291,1547,3811
"Cristiana/Evangélica (002)",1905,280,236,277,304,197,611
"Otra (003)",84,17,4,10,13,12,28
"Ninguna (004)",248,50,40,49,22,29,58
"Hombres (006)",8223,1438,1314,1385,1307,776,2003
"Católica (007)",7259,1279,1192,1230,1157,680,1721
"Cristiana/Evangélica (008)",795,119,97,126,135,72,246
"Otra (009)",42,11,2,5,4,9,11
"Ninguna (010)",127,29,23,24,11,15,25
"Mujeres (012)",8879,1374,1254,1414,1323,1009,2505
"Católica (013)",7606,1186,1096,1233,1134,867,2090
"Cristiana/Evangélica (014)",1110,161,139,151,169,125,365
"Otra (015)",42,6,2,5,9,3,17
"Ninguna (016)",121,21,17,25,11,14,33
,,,,,,,
"URBANA (018)",5665,907,842,950,992,590,1384
"Católica (019)",4821,784,719,832,857,498,1131
"Cristiana/Evangélica (020)",699,93,104,87,115,76,224
"Otra (021)",34,9,,6,6,2,11
"Ninguna (022)",111,21,19,25,14,14,18
"Hombres (024)",2767,450,424,475,498,285,635
"Católica (025)",2407,401,371,419,436,254,526
"Cristiana/Evangélica (026)",277,29,42,40,51,22,93
"Otra (027)",17,5,,3,2,2,5
"Ninguna (028)",66,15,11,13,9,7,11
"Mujeres (030)",2898,457,418,475,494,305,749
"Católica (031)",2414,383,348,413,421,244,605
"Cristiana/Evangélica (032)",422,64,62,47,64,54,131
"Otra (033)",17,4,,3,4,,6
"Ninguna (034)",45,6,8,12,5,7,7
,,,,,,,
"RURAL (036)",11437,1905,1726,1849,1638,1195,3124
"Católica (037)",10044,1681,1569,1631,1434,1049,2680
"Cristiana/Evangélica (038)",1206,187,132,190,189,121,387
"Otra (039)",50,8,4,4,7,10,17
"Ninguna (040)",137,29,21,24,8,15,40
"Hombres (042)",5456,988,890,910,809,491,1368
"Católica (043)",4852,878,821,811,721,426,1195
"Cristiana/Evangélica (044)",518,90,55,86,84,50,153
"Otra (045)",25,6,2,2,2,7,6
"Ninguna (046)",61,14,12,11,2,8,14
"Mujeres (048)",5981,917,836,939,829,704,1756
"Católica (049)",5192,803,748,820,713,623,1485
"Cristiana/Evangélica (050)",688,97,77,104,105,71,234
"Otra (051)",25,2,2,2,5,3,11
"Ninguna (052)",76,15,9,13,6,7,26
