"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia QUISPICANCHI (000)",82,71,11
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",39,34,5
"Hospital, clinica (004)",5,5,
"Cárcel, centro de readaptación social (005)",1,1,
"Aldea infantil, orfelinato, etc (007)",4,2,2
"Otro (008)",23,19,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",10,10,
