"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANGALLO (000)",9509,1413,17,4231,2708,211,490,84,355
"Agric., ganadería, caza y silvicultura (001)",6622,1200,16,3441,1838,49,44,16,18
"Pesca (002)",3,,,1,2,,,,
"Explotación de minas y canteras (003)",160,2,,60,59,7,12,3,17
"Industrias manufactureras (004)",162,11,,68,67,5,6,4,1
"Suministro de electricidad, gas y agua (005)",11,,,1,2,1,4,2,1
"Construcción (006)",274,13,,108,117,11,10,5,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",537,54,,215,193,25,37,3,10
"Venta, mant.y rep. veh.autom.y motoc. (008)",14,,,4,4,4,1,1,
"Comercio al por mayor (009)",11,,,4,6,,1,,
"Comercio al por menor (010)",512,54,,207,183,21,35,2,10
"Hoteles y restaurantes (011)",141,16,,59,56,5,3,2,
"Trans., almac. y comunicaciones (012)",79,,,11,51,6,6,2,3
"Intermediación financiera (013)",6,,,,2,,,1,3
"Activid.inmobil., empres. y de alquiler (014)",75,,,10,21,6,14,7,17
"Admin.pub. y defensa; p. segur.soc.afil (015)",201,4,,25,53,18,35,17,49
"Enseñanza (016)",526,,,2,67,48,252,14,143
"Servicios sociales y de salud (017)",111,,,3,6,7,30,6,59
"Otras activ. serv.comun.soc y personales (018)",54,1,,13,18,1,16,,5
"Hogares privados con servicio doméstico (019)",48,6,,16,25,,1,,
"Actividad economica no especificada (021)",499,106,1,198,131,22,20,2,19
"Hombres (022)",6127,457,6,2773,2137,159,290,66,239
"Agric., ganadería, caza y silvicultura (023)",4410,412,6,2335,1543,47,37,15,15
"Pesca (024)",3,,,1,2,,,,
"Explotación de minas y canteras (025)",155,2,,58,58,7,12,3,15
"Industrias manufactureras (026)",136,8,,58,58,4,4,3,1
"Suministro de electricidad, gas y agua (027)",10,,,1,2,1,3,2,1
"Construcción (028)",270,11,,106,117,11,10,5,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",193,5,,75,81,13,12,2,5
"Venta, mant.y rep. veh.autom.y motoc. (030)",12,,,4,3,3,1,1,
"Comercio al por mayor (031)",6,,,3,3,,,,
"Comercio al por menor (032)",175,5,,68,75,10,11,1,5
"Hoteles y restaurantes (033)",33,,,9,19,4,,1,
"Trans., almac. y comunicaciones (034)",73,,,10,50,6,4,1,2
"Intermediación financiera (035)",4,,,,1,,,,3
"Activid.inmobil., empres. y de alquiler (036)",55,,,8,16,4,8,5,14
"Admin.pub. y defensa; p. segur.soc.afil (037)",166,3,,20,44,15,29,14,41
"Enseñanza (038)",326,,,2,47,27,146,9,95
"Servicios sociales y de salud (039)",41,,,1,3,3,11,4,19
"Otras activ. serv.comun.soc y personales (040)",24,,,4,11,1,4,,4
"Hogares privados con servicio doméstico (041)",6,1,,2,2,,1,,
"Actividad economica no especificada (043)",222,15,,83,83,16,9,2,14
"Mujeres (044)",3382,956,11,1458,571,52,200,18,116
"Agric., ganadería, caza y silvicultura (045)",2212,788,10,1106,295,2,7,1,3
"Explotación de minas y canteras (047)",5,,,2,1,,,,2
