"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUAMANGA (000)",192585,48105,64776,41094,26845,11765
"Sin nivel (001)",17771,720,1066,3234,6452,6299
"Educación inicial (002)",2940,2645,173,122,,
"Primaria (003)",69700,35744,10220,11971,8454,3311
"Secundaria (004)",57825,8996,32540,10545,4691,1053
"Superior no univ. incompleta (005)",7721,,5357,1746,532,86
"Superior no univ. completa (006)",9108,,3248,4105,1452,303
"Superior univ. incompleta (007)",12526,,9023,2205,1177,121
"Superior univ. completa (008)",14994,,3149,7166,4087,592
"PEA (010)",75111,1269,26556,27866,16269,3151
"Sin nivel (011)",4713,19,314,1020,2133,1227
"Educación inicial (012)",131,14,54,63,,
"Primaria (013)",17628,773,4190,6513,4941,1211
"Secundaria (014)",24881,463,12901,7690,3444,383
"Superior no univ. incompleta (015)",3860,,2087,1311,422,40
"Superior no univ. completa (016)",6808,,2292,3361,1091,64
"Superior univ. incompleta (017)",4992,,2343,1642,956,51
"Superior univ. completa (018)",12098,,2375,6266,3282,175
"Ocupada (020)",71283,1208,24633,26613,15785,3044
"Sin nivel (021)",4496,16,282,968,2052,1178
"Educación inicial (022)",120,10,51,59,,
"Primaria (023)",16765,745,3903,6176,4767,1174
"Secundaria (024)",23508,437,11997,7374,3330,370
"Superior no univ. incompleta (025)",3666,,1973,1243,410,40
"Superior no univ. completa (026)",6418,,2091,3196,1067,64
"Superior univ. incompleta (027)",4737,,2181,1574,933,49
