"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHUPACA (000)",756,231,525
"Sin nivel (001)",25,4,21
"Educación inicial (002)",1,,1
"Primaria (003)",107,14,93
"Secundaria (004)",371,125,246
"Superior no univ. incompleta (005)",59,19,40
"Superior no univ. completa (006)",103,39,64
"Superior univ. incompleta (007)",15,4,11
"Superior univ. completa (008)",75,26,49
"De 14 a 29 años (010)",405,184,221
"Sin nivel (011)",6,2,4
"Educación inicial (012)",1,,1
"Primaria (013)",30,10,20
"Secundaria (014)",218,103,115
"Superior no univ. incompleta (015)",41,18,23
"Superior no univ. completa (016)",68,32,36
"Superior univ. incompleta (017)",7,2,5
"Superior univ. completa (018)",34,17,17
"De 30 a 44 años (020)",225,42,183
"Sin nivel (021)",8,2,6
"Primaria (023)",30,3,27
"Secundaria (024)",102,18,84
"Superior no univ. incompleta (025)",12,1,11
"Superior no univ. completa (026)",32,7,25
"Superior univ. incompleta (027)",6,2,4
"Superior univ. completa (028)",35,9,26
"De 45 a 64 años (030)",102,5,97
"Sin nivel (031)",4,,4
"Primaria (033)",33,1,32
"Secundaria (034)",48,4,44
"Superior no univ. incompleta (035)",6,,6
"Superior no univ. completa (036)",3,,3
"Superior univ. incompleta (037)",2,,2
"Superior univ. completa (038)",6,,6
"De 65 y más años (040)",24,,24
"Sin nivel (041)",7,,7
"Primaria (043)",14,,14
"Secundaria (044)",3,,3
,,,
"AREA URBANA (050)",497,141,356
"Sin nivel (051)",13,2,11
"Educación inicial (052)",1,,1
"Primaria (053)",63,7,56
"Secundaria (054)",229,70,159
"Superior no univ. incompleta (055)",42,15,27
"Superior no univ. completa (056)",79,27,52
"Superior univ. incompleta (057)",13,3,10
"Superior univ. completa (058)",57,17,40
"De 14 a 29 años (060)",271,114,157
"Sin nivel (061)",4,1,3
"Educación inicial (062)",1,,1
"Primaria (063)",22,7,15
"Secundaria (064)",121,52,69
"Superior no univ. incompleta (065)",32,14,18
"Superior no univ. completa (066)",56,24,32
"Superior univ. incompleta (067)",7,2,5
"Superior univ. completa (068)",28,14,14
"De 30 a 44 años (070)",146,24,122
"Sin nivel (071)",5,1,4
"Primaria (073)",11,,11
"Secundaria (074)",74,15,59
"Superior no univ. incompleta (075)",7,1,6
"Superior no univ. completa (076)",21,3,18
"Superior univ. incompleta (077)",4,1,3
"Superior univ. completa (078)",24,3,21
"De 45 a 64 años (080)",65,3,62
"Primaria (083)",21,,21
"Secundaria (084)",32,3,29
"Superior no univ. incompleta (085)",3,,3
"Superior no univ. completa (086)",2,,2
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",5,,5
"De 65 y más años (090)",15,,15
"Sin nivel (091)",4,,4
"Primaria (093)",9,,9
"Secundaria (094)",2,,2
,,,
"AREA RURAL (100)",259,90,169
"Sin nivel (101)",12,2,10
"Primaria (103)",44,7,37
"Secundaria (104)",142,55,87
"Superior no univ. incompleta (105)",17,4,13
"Superior no univ. completa (106)",24,12,12
"Superior univ. incompleta (107)",2,1,1
"Superior univ. completa (108)",18,9,9
"De 14 a 29 años (110)",134,70,64
"Sin nivel (111)",2,1,1
"Primaria (113)",8,3,5
"Secundaria (114)",97,51,46
"Superior no univ. incompleta (115)",9,4,5
"Superior no univ. completa (116)",12,8,4
"Superior univ. completa (118)",6,3,3
"De 30 a 44 años (120)",79,18,61
"Sin nivel (121)",3,1,2
"Primaria (123)",19,3,16
"Secundaria (124)",28,3,25
"Superior no univ. incompleta (125)",5,,5
"Superior no univ. completa (126)",11,4,7
"Superior univ. incompleta (127)",2,1,1
"Superior univ. completa (128)",11,6,5
"De 45 a 64 años (130)",37,2,35
"Sin nivel (131)",4,,4
"Primaria (133)",12,1,11
"Secundaria (134)",16,1,15
"Superior no univ. incompleta (135)",3,,3
"Superior no univ. completa (136)",1,,1
"Superior univ. completa (138)",1,,1
"De 65 y más años (140)",9,,9
"Sin nivel (141)",3,,3
"Primaria (143)",5,,5
"Secundaria (144)",1,,1
