"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHICLAYO (000)",674726,133622,208139,158368,123759,50838
"Sin nivel (001)",32770,2492,2743,6076,10111,11348
"Educación inicial (002)",10668,10091,396,181,,
"Primaria (003)",205785,92747,22915,29773,37122,23228
"Secundaria (004)",242080,28292,105913,61057,38599,8219
"Superior no univ. incompleta (005)",36522,,21061,9845,4648,968
"Superior no univ. completa (006)",52344,,14143,22403,13140,2658
"Superior univ. incompleta (007)",38687,,27357,6697,3875,758
"Superior univ. completa (008)",55870,,13611,22336,16264,3659
"PEA (010)",286673,3156,95318,106030,72034,10135
"Sin nivel (011)",8803,90,978,2608,3591,1536
"Educación inicial (012)",298,48,159,91,,
"Primaria (013)",54222,1847,11721,16798,18900,4956
"Secundaria (014)",112259,1171,45159,40318,23793,1818
"Superior no univ. incompleta (015)",18815,,8742,6756,3069,248
"Superior no univ. completa (016)",34772,,10009,16247,8061,455
"Superior univ. incompleta (017)",16135,,8379,4872,2694,190
"Superior univ. completa (018)",41369,,10171,18340,11926,932
"Ocupada (020)",271456,2927,86958,102007,69823,9741
"Sin nivel (021)",8378,67,879,2479,3476,1477
"Educación inicial (022)",271,43,145,83,,
"Primaria (023)",51809,1729,10895,16137,18298,4750
"Secundaria (024)",105729,1088,41236,38693,22966,1746
"Superior no univ. incompleta (025)",17767,,8035,6515,2977,240
"Superior no univ. completa (026)",33023,,9090,15639,7851,443
"Superior univ. incompleta (027)",15043,,7539,4712,2613,179
