"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAMANA (000)",22182,15670,3023,1972,1517
"Agric., ganadería, caza y silvicultura (001)",6462,4134,1448,800,80
"Pesca (002)",1022,822,71,66,63
"Explotación de minas y canteras (003)",2202,1782,367,30,23
"Industrias manufactureras (004)",775,603,83,49,40
"Suministro de electricidad, gas y agua (005)",44,12,5,23,4
"Construcción (006)",964,648,143,112,61
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3503,3292,159,43,9
"Venta, mant.y rep. veh.autom y motoc. (008)",353,315,28,2,8
"Comercio al por mayor (009)",184,133,32,18,1
"Comercio al por menor (010)",2966,2844,99,23,
"Hoteles y restaurantes (011)",1016,871,115,26,4
"Trans., almac. y comunicaciones (012)",1673,1412,132,87,42
"Intermediación financiera (013)",83,19,19,34,11
"Activid.inmobil., empres. y alquileres (014)",643,417,94,92,40
"Admin.pub. y defensa; p. segur soc.afil (015)",730,,,,730
"Enseñanza (016)",1081,223,193,503,162
"Servicios sociales y de salud (017)",376,124,20,18,214
"Otras activ. serv.comun.soc y personales (018)",710,507,118,67,18
"Hogares privados con servicio doméstico (019)",458,458,,,
"Actividad economica no especificada (021)",440,346,56,22,16
"Hombres (022)",14895,10726,2081,1104,984
"Agric., ganadería, caza y silvicultura (023)",4795,3393,931,417,54
"Pesca (024)",1006,810,67,66,63
"Explotación de minas y canteras (025)",2047,1640,355,29,23
"Industrias manufactureras (026)",559,420,66,41,32
"Suministro de electricidad, gas y agua (027)",40,11,5,20,4
"Construcción (028)",933,637,138,98,60
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1541,1422,82,30,7
"Venta, mant.y rep. veh.autom y motoc. (030)",321,290,22,2,7
"Comercio al por mayor (031)",116,78,22,16,
"Comercio al por menor (032)",1104,1054,38,12,
"Hoteles y restaurantes (033)",324,254,51,17,2
"Trans., almac. y comunicaciones (034)",1526,1295,116,76,39
"Intermediación financiera (035)",46,12,10,18,6
"Activid.inmobil., empres. y alquileres (036)",448,296,69,54,29
"Admin.pub. y defensa; p. segur soc.afil (037)",511,,,,511
"Enseñanza (038)",374,64,69,178,63
"Servicios sociales y de salud (039)",120,40,3,8,69
"Otras activ. serv.comun.soc y personales (040)",398,263,81,40,14
"Hogares privados con servicio doméstico (041)",47,47,,,
