"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PASCO (000)",3569,1079,2490
"De 14 a 29 años (001)",2095,887,1208
"De 30 a 44 años (002)",1008,159,849
"De 45 a 64 años (003)",402,33,369
"De 65 y más años (004)",64,,64
"Hombres (005)",2510,650,1860
"De 14 a 29 años (006)",1368,524,844
"De 30 a 44 años (007)",749,101,648
"De 45 a 64 años (008)",339,25,314
"De 65 y más años (009)",54,,54
"Mujeres (010)",1059,429,630
"De 14 a 29 años (011)",727,363,364
"De 30 a 44 años (012)",259,58,201
"De 45 a 64 años (013)",63,8,55
"De 65 y más años (014)",10,,10
,,,
"AREA URBANA (015)",2794,782,2012
"De 14 a 29 años (016)",1580,631,949
"De 30 a 44 años (017)",828,126,702
"De 45 a 64 años (018)",335,25,310
"De 65 y más años (019)",51,,51
"Hombres (020)",1942,456,1486
"De 14 a 29 años (021)",1009,360,649
"De 30 a 44 años (022)",616,78,538
"De 45 a 64 años (023)",275,18,257
"De 65 y más años (024)",42,,42
"Mujeres (025)",852,326,526
"De 14 a 29 años (026)",571,271,300
"De 30 a 44 años (027)",212,48,164
"De 45 a 64 años (028)",60,7,53
"De 65 y más años (029)",9,,9
,,,
"AREA RURAL (030)",775,297,478
"De 14 a 29 años (031)",515,256,259
"De 30 a 44 años (032)",180,33,147
"De 45 a 64 años (033)",67,8,59
"De 65 y más años (034)",13,,13
"Hombres (035)",568,194,374
"De 14 a 29 años (036)",359,164,195
"De 30 a 44 años (037)",133,23,110
"De 45 a 64 años (038)",64,7,57
"De 65 y más años (039)",12,,12
"Mujeres (040)",207,103,104
"De 14 a 29 años (041)",156,92,64
"De 30 a 44 años (042)",47,10,37
"De 45 a 64 años (043)",3,1,2
"De 65 y más años (044)",1,,1
