"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHUCUITO (000)",94976,14499,19401,19064,14361,10557,17094
"Católica (001)",67048,10400,13899,13535,10282,7515,11417
"Cristiana/Evangélica (002)",11375,1601,2034,1975,1612,1395,2758
"Otra (003)",13219,1819,2716,2810,1999,1353,2522
"Ninguna (004)",3334,679,752,744,468,294,397
"Hombres (006)",48374,7480,9875,9698,7298,5400,8623
"Católica (007)",34448,5369,7106,6954,5265,3899,5855
"Cristiana/Evangélica (008)",5484,790,1007,954,795,661,1277
"Otra (009)",6636,962,1343,1396,986,676,1273
"Ninguna (010)",1806,359,419,394,252,164,218
"Mujeres (012)",46602,7019,9526,9366,7063,5157,8471
"Católica (013)",32600,5031,6793,6581,5017,3616,5562
"Cristiana/Evangélica (014)",5891,811,1027,1021,817,734,1481
"Otra (015)",6583,857,1373,1414,1013,677,1249
"Ninguna (016)",1528,320,333,350,216,130,179
,,,,,,,
"URBANA (018)",27223,4172,6337,6184,4493,2862,3175
"Católica (019)",20071,3097,4697,4582,3360,2115,2220
"Cristiana/Evangélica (020)",3025,457,658,637,484,344,445
"Otra (021)",2742,375,643,632,461,276,355
"Ninguna (022)",1385,243,339,333,188,127,155
"Hombres (024)",14221,2121,3279,3268,2345,1524,1684
"Católica (025)",10494,1571,2417,2424,1760,1153,1169
"Cristiana/Evangélica (026)",1541,229,331,336,250,163,232
"Otra (027)",1413,195,336,322,235,135,190
"Ninguna (028)",773,126,195,186,100,73,93
"Mujeres (030)",13002,2051,3058,2916,2148,1338,1491
"Católica (031)",9577,1526,2280,2158,1600,962,1051
"Cristiana/Evangélica (032)",1484,228,327,301,234,181,213
"Otra (033)",1329,180,307,310,226,141,165
"Ninguna (034)",612,117,144,147,88,54,62
,,,,,,,
"RURAL (036)",67753,10327,13064,12880,9868,7695,13919
"Católica (037)",46977,7303,9202,8953,6922,5400,9197
"Cristiana/Evangélica (038)",8350,1144,1376,1338,1128,1051,2313
"Otra (039)",10477,1444,2073,2178,1538,1077,2167
"Ninguna (040)",1949,436,413,411,280,167,242
"Hombres (042)",34153,5359,6596,6430,4953,3876,6939
"Católica (043)",23954,3798,4689,4530,3505,2746,4686
"Cristiana/Evangélica (044)",3943,561,676,618,545,498,1045
"Otra (045)",5223,767,1007,1074,751,541,1083
"Ninguna (046)",1033,233,224,208,152,91,125
"Mujeres (048)",33600,4968,6468,6450,4915,3819,6980
"Católica (049)",23023,3505,4513,4423,3417,2654,4511
"Cristiana/Evangélica (050)",4407,583,700,720,583,553,1268
"Otra (051)",5254,677,1066,1104,787,536,1084
"Ninguna (052)",916,203,189,203,128,76,117
