"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TUMBES (000)",34282,28568,5714
"Red pública dentro de la vivienda (001)",22240,20813,1427
"Red pública fuera de la vivienda (002)",2413,1991,422
"Pilón de uso público (003)",1250,703,547
"Camión - cisterna u otro similar (004)",465,307,158
"Pozo (005)",336,182,154
"Río, acequia, manatial o similar (006)",2320,1549,771
"Vecino (007)",4496,2607,1889
"Otro (008)",762,416,346
,,,
"URBANA (010)",31506,26730,4776
"Red pública dentro de la vivienda (011)",21626,20288,1338
"Red pública fuera de la vivienda (012)",2261,1876,385
"Pilón de uso público (013)",1055,587,468
"Camión - cisterna u otro similar (014)",401,271,130
"Pozo (015)",156,124,32
"Río, acequia, manatial o similar (016)",1019,682,337
"Vecino (017)",4265,2503,1762
"Otro (018)",723,399,324
,,,
"RURAL (020)",2776,1838,938
"Red pública dentro de la vivienda (021)",614,525,89
"Red pública fuera de la vivienda (022)",152,115,37
"Pilón de uso público (023)",195,116,79
"Camión - cisterna u otro similar (024)",64,36,28
"Pozo (025)",180,58,122
"Río, acequia, manatial o similar (026)",1301,867,434
"Vecino (027)",231,104,127
"Otro (028)",39,17,22
