"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia MARAÑON (000)",6142,9,64,266,528,1113,2945,1217
"De 12 a 14 años (001)",11,,,,,,1,10
"De 15 a 19 años (002)",274,,,,,,186,88
"De 20 a 24 años (003)",802,,,,,2,555,245
"De 25 a 29 años (004)",782,,,,,22,600,160
"De 30 a 34 años (005)",772,,,,,103,554,115
"De 35 a 39 años (006)",770,,,,2,168,520,80
"De 40 a 44 años (007)",565,,,,10,182,317,56
"De 45 a 49 años (008)",515,,,,33,235,183,64
"De 50 y más años (009)",1651,9,64,266,483,401,29,399
"PEA (010)",715,2,5,23,64,169,281,171
"De 15 a 19 años (012)",19,,,,,,9,10
"De 20 a 24 años (013)",80,,,,,,44,36
"De 25 a 29 años (014)",87,,,,,4,50,33
"De 30 a 34 años (015)",117,,,,,23,68,26
"De 35 a 39 años (016)",130,,,,,38,73,19
"De 40 a 44 años (017)",65,,,,3,24,29,9
"De 45 a 49 años (018)",62,,,,10,36,7,9
"De 50 y más años (019)",155,2,5,23,51,44,1,29
"Ocupada (020)",697,2,5,23,64,165,271,167
"De 15 a 19 años (022)",19,,,,,,9,10
"De 20 a 24 años (023)",76,,,,,,41,35
"De 25 a 29 años (024)",81,,,,,4,45,32
"De 30 a 34 años (025)",114,,,,,23,67,24
"De 35 a 39 años (026)",128,,,,,37,72,19
"De 40 a 44 años (027)",63,,,,3,22,29,9
"De 45 a 49 años (028)",61,,,,10,35,7,9
"De 50 y más años (029)",155,2,5,23,51,44,1,29
"Desocupada (030)",18,,,,,4,10,4
"De 20 a 24 años (033)",4,,,,,,3,1
"De 25 a 29 años (034)",6,,,,,,5,1
"De 30 a 34 años (035)",3,,,,,,1,2
"De 35 a 39 años (036)",2,,,,,1,1,
"De 40 a 44 años (037)",2,,,,,2,,
"De 45 a 49 años (038)",1,,,,,1,,
"No PEA (040)",5427,7,59,243,464,944,2664,1046
"De 12 a 14 años (041)",11,,,,,,1,10
"De 15 a 19 años (042)",255,,,,,,177,78
"De 20 a 24 años (043)",722,,,,,2,511,209
"De 25 a 29 años (044)",695,,,,,18,550,127
"De 30 a 34 años (045)",655,,,,,80,486,89
"De 35 a 39 años (046)",640,,,,2,130,447,61
"De 40 a 44 años (047)",500,,,,7,158,288,47
"De 45 a 49 años (048)",453,,,,23,199,176,55
"De 50 y más años (049)",1496,7,59,243,432,357,28,370
,,,,,,,,
"URBANA (060)",962,2,10,49,70,216,387,228
"De 12 a 14 años (061)",2,,,,,,,2
"De 15 a 19 años (062)",27,,,,,,14,13
"De 20 a 24 años (063)",97,,,,,,59,38
