"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARAVELI (000)",33910,3493,893,9673,12894,1838,2002,1172,1945
"Quechua (001)",4912,844,17,1722,1711,200,183,101,134
"Aymara (002)",362,22,2,82,187,23,14,19,13
"Ashaninca (003)",5,1,,2,1,,,,1
"Otra lengua nativa (004)",4,1,,1,2,,,,
"Castellano (005)",28565,2607,874,7861,10987,1614,1803,1052,1767
"Idioma extranjero (006)",32,,,,2,,2,,28
"Es sordomudo/a (007)",30,18,,5,4,1,,,2
"Hombres (009)",19290,1402,466,5231,7963,1140,1157,799,1132
"Quechua (010)",2930,241,6,997,1227,143,132,90,94
"Aymara (011)",240,6,1,42,136,16,10,17,12
"Ashaninca (012)",4,1,,2,,,,,1
"Castellano (014)",16085,1146,459,4188,6595,980,1014,692,1011
"Idioma extranjero (015)",14,,,,1,,1,,12
"Es sordomudo/a (016)",17,8,,2,4,1,,,2
"Mujeres (018)",14620,2091,427,4442,4931,698,845,373,813
"Quechua (019)",1982,603,11,725,484,57,51,11,40
"Aymara (020)",122,16,1,40,51,7,4,2,1
"Ashaninca (021)",1,,,,1,,,,
"Otra lengua nativa (022)",4,1,,1,2,,,,
"Castellano (023)",12480,1461,415,3673,4392,634,789,360,756
"Idioma extranjero (024)",18,,,,1,,1,,16
"Es sordomudo/a (025)",13,10,,3,,,,,
,,,,,,,,,
"URBANA (027)",21838,2098,661,6105,7865,1209,1499,837,1564
"Quechua (028)",2139,411,7,690,674,96,107,51,103
"Aymara (029)",169,10,2,47,77,11,6,9,7
"Ashaninca (030)",3,1,,,1,,,,1
"Otra lengua nativa (031)",3,1,,1,1,,,,
"Castellano (032)",19499,1664,652,5365,7107,1101,1386,777,1447
"Idioma extranjero (033)",6,,,,1,,,,5
"Es sordomudo/a (034)",19,11,,2,4,1,,,1
"Hombres (036)",11556,802,355,3133,4385,674,810,519,878
"Quechua (037)",1156,93,2,375,435,62,79,41,69
"Aymara (038)",103,3,1,22,47,9,5,9,7
"Ashaninca (039)",2,1,,,,,,,1
"Castellano (041)",10280,700,352,2735,3899,602,726,469,797
"Idioma extranjero (042)",3,,,,,,,,3
"Es sordomudo/a (043)",12,5,,1,4,1,,,1
"Mujeres (045)",10282,1296,306,2972,3480,535,689,318,686
"Quechua (046)",983,318,5,315,239,34,28,10,34
"Aymara (047)",66,7,1,25,30,2,1,,
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",3,1,,1,1,,,,
"Castellano (050)",9219,964,300,2630,3208,499,660,308,650
"Idioma extranjero (051)",3,,,,1,,,,2
"Es sordomudo/a (052)",7,6,,1,,,,,
,,,,,,,,,
"RURAL (054)",12072,1395,232,3568,5029,629,503,335,381
"Quechua (055)",2773,433,10,1032,1037,104,76,50,31
"Aymara (056)",193,12,,35,110,12,8,10,6
"Ashaninca (057)",2,,,2,,,,,
"Otra lengua nativa (058)",1,,,,1,,,,
"Castellano (059)",9066,943,222,2496,3880,513,417,275,320
"Idioma extranjero (060)",26,,,,1,,2,,23
"Es sordomudo/a (061)",11,7,,3,,,,,1
"Hombres (063)",7734,600,111,2098,3578,466,347,280,254
"Quechua (064)",1774,148,4,622,792,81,53,49,25
"Aymara (065)",137,3,,20,89,7,5,8,5
"Ashaninca (066)",2,,,2,,,,,
"Castellano (068)",5805,446,107,1453,2696,378,288,223,214
"Idioma extranjero (069)",11,,,,1,,1,,9
"Es sordomudo/a (070)",5,3,,1,,,,,1
"Mujeres (072)",4338,795,121,1470,1451,163,156,55,127
"Quechua (073)",999,285,6,410,245,23,23,1,6
"Aymara (074)",56,9,,15,21,5,3,2,1
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",3261,497,115,1043,1184,135,129,52,106
"Idioma extranjero (078)",15,,,,,,1,,14
"Es sordomudo/a (079)",6,4,,2,,,,,
