"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia HUAMALIES (000)",61670,3537,18673,11513,8186,7340,5197,3355,3869
"Quechua (001)",32873,1363,8248,5177,4272,4391,3588,2591,3243
"Aymara (002)",44,2,17,5,6,5,6,1,2
"Ashaninca (003)",6,1,1,,1,3,,,
"Otra lengua nativa (004)",6,,2,,,2,,1,1
"Castellano (005)",28511,2162,10379,6306,3866,2884,1567,741,606
"Idioma extranjero (006)",4,,,1,1,2,,,
"Es sordomudo/a (007)",226,9,26,24,40,53,36,21,17
"Hombres (009)",31249,1787,9577,5991,4097,3574,2691,1693,1839
"Quechua (010)",16194,677,4253,2619,2029,2081,1783,1256,1496
"Aymara (011)",22,,7,2,4,4,3,,2
"Ashaninca (012)",3,,1,,,2,,,
"Otra lengua nativa (013)",1,,,,,1,,,
"Castellano (014)",14898,1107,5298,3355,2039,1457,884,426,332
"Idioma extranjero (015)",2,,,1,,1,,,
"Es sordomudo/a (016)",129,3,18,14,25,28,21,11,9
"Mujeres (018)",30421,1750,9096,5522,4089,3766,2506,1662,2030
"Quechua (019)",16679,686,3995,2558,2243,2310,1805,1335,1747
"Aymara (020)",22,2,10,3,2,1,3,1,
"Ashaninca (021)",3,1,,,1,1,,,
"Otra lengua nativa (022)",5,,2,,,1,,1,1
"Castellano (023)",13613,1055,5081,2951,1827,1427,683,315,274
"Idioma extranjero (024)",2,,,,1,1,,,
"Es sordomudo/a (025)",97,6,8,10,15,25,15,10,8
,,,,,,,,,
"URBANA (027)",17444,893,5153,3197,2362,2250,1576,876,1137
"Quechua (028)",7361,217,1633,1150,947,1055,923,591,845
"Aymara (029)",16,2,6,2,5,,1,,
"Ashaninca (030)",2,,,,,2,,,
"Otra lengua nativa (031)",3,,1,,,1,,1,
"Castellano (032)",10008,670,3508,2038,1401,1181,643,281,286
"Idioma extranjero (033)",4,,,1,1,2,,,
"Es sordomudo/a (034)",50,4,5,6,8,9,9,3,6
"Hombres (036)",8583,458,2617,1598,1114,1049,804,426,517
"Quechua (037)",3527,112,856,574,426,472,438,275,374
"Aymara (038)",8,,3,1,3,,1,,
"Ashaninca (039)",2,,,,,2,,,
"Otra lengua nativa (040)",1,,,,,1,,,
"Castellano (041)",5012,345,1755,1017,680,567,358,149,141
"Idioma extranjero (042)",2,,,1,,1,,,
"Es sordomudo/a (043)",31,1,3,5,5,6,7,2,2
"Mujeres (045)",8861,435,2536,1599,1248,1201,772,450,620
"Quechua (046)",3834,105,777,576,521,583,485,316,471
"Aymara (047)",8,2,3,1,2,,,,
"Otra lengua nativa (049)",2,,1,,,,,1,
"Castellano (050)",4996,325,1753,1021,721,614,285,132,145
"Idioma extranjero (051)",2,,,,1,1,,,
"Es sordomudo/a (052)",19,3,2,1,3,3,2,1,4
,,,,,,,,,
"RURAL (054)",44226,2644,13520,8316,5824,5090,3621,2479,2732
"Quechua (055)",25512,1146,6615,4027,3325,3336,2665,2000,2398
"Aymara (056)",28,,11,3,1,5,5,1,2
"Ashaninca (057)",4,1,1,,1,1,,,
"Otra lengua nativa (058)",3,,1,,,1,,,1
"Castellano (059)",18503,1492,6871,4268,2465,1703,924,460,320
"Es sordomudo/a (061)",176,5,21,18,32,44,27,18,11
"Hombres (063)",22666,1329,6960,4393,2983,2525,1887,1267,1322
"Quechua (064)",12667,565,3397,2045,1603,1609,1345,981,1122
"Aymara (065)",14,,4,1,1,4,2,,2
"Ashaninca (066)",1,,1,,,,,,
"Castellano (068)",9886,762,3543,2338,1359,890,526,277,191
"Es sordomudo/a (070)",98,2,15,9,20,22,14,9,7
"Mujeres (072)",21560,1315,6560,3923,2841,2565,1734,1212,1410
"Quechua (073)",12845,581,3218,1982,1722,1727,1320,1019,1276
"Aymara (074)",14,,7,2,,1,3,1,
"Ashaninca (075)",3,1,,,1,1,,,
"Otra lengua nativa (076)",3,,1,,,1,,,1
"Castellano (077)",8617,730,3328,1930,1106,813,398,183,129
"Es sordomudo/a (079)",78,3,6,9,12,22,13,9,4
