"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHEPEN (000)",21449,329,7999,6472,2561,1062,447,126,15,,2438
"Catolica (001)",14052,192,4958,4272,1776,772,323,78,9,,1672
"Cristiana / Evangelica (002)",5851,109,2400,1730,643,233,107,40,4,,585
"Otra (003)",765,12,293,241,94,31,11,3,1,,79
"Ninguna (004)",781,16,348,229,48,26,6,5,1,,102
,,,,,,,,,,,
"URBANA (006)",17839,253,6431,5401,2246,958,401,106,13,,2030
"Catolica (007)",11841,146,4053,3618,1580,706,289,66,7,,1376
"Cristiana / Evangelica (008)",4758,89,1880,1412,546,203,95,35,4,,494
"Otra (009)",601,8,219,184,83,26,11,3,1,,66
"Ninguna (010)",639,10,279,187,37,23,6,2,1,,94
,,,,,,,,,,,
"RURAL (012)",3610,76,1568,1071,315,104,46,20,2,,408
"Catolica (013)",2211,46,905,654,196,66,34,12,2,,296
"Cristiana / Evangelica (014)",1093,20,520,318,97,30,12,5,,,91
"Otra (015)",164,4,74,57,11,5,,,,,13
"Ninguna (016)",142,6,69,42,11,3,,3,,,8
