"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANCHEZ CARRION (000)",135592,3759,54276,33115,21663,15545,7234
"Casa independiente (001)",130998,3613,52361,32013,20952,15058,7001
"Departamento en edificio (002)",60,3,15,20,14,7,1
"Vivienda en quinta (003)",190,6,63,58,42,17,4
"Vivienda en casa de vecindad (004)",418,17,142,127,72,46,14
"Choza o cabaña (005)",3884,119,1674,891,572,415,213
"Vivienda improvisada (006)",18,,11,3,4,,
"Local no destinado para hab.humana (007)",24,1,10,3,7,2,1
,,,,,,,
"URBANA (009)",35959,799,12696,9827,6505,4351,1781
"Casa independiente (010)",35254,772,12455,9617,6369,4280,1761
"Departamento en edificio (011)",60,3,15,20,14,7,1
"Vivienda en quinta (012)",190,6,63,58,42,17,4
"Vivienda en casa de vecindad (013)",418,17,142,127,72,46,14
"Vivienda improvisada (015)",18,,11,3,4,,
"Local no destinado para hab.humana (016)",19,1,10,2,4,1,1
,,,,,,,
"RURAL (018)",99633,2960,41580,23288,15158,11194,5453
"Casa independiente (019)",95744,2841,39906,22396,14583,10778,5240
"Choza o cabaña (023)",3884,119,1674,891,572,415,213
"Local no destinado para hab.humana (025)",5,,,1,3,1,
