"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia VICTOR FAJARDO (000)",10668,8692,1976
"De 3 a 5 años (001)",1608,147,1461
"De 6 a 11 años (002)",3432,3006,426
"De 12 a 16 años (003)",2913,2884,29
"De 17 a 24 años (004)",2715,2655,60
"Hombres (005)",5404,4400,1004
"De 3 a 5 años (006)",809,63,746
"De 6 a 11 años (007)",1720,1495,225
"De 12 a 16 años (008)",1487,1478,9
"De 17 a 24 años (009)",1388,1364,24
"Mujeres (010)",5264,4292,972
"De 3 a 5 años (011)",799,84,715
"De 6 a 11 años (012)",1712,1511,201
"De 12 a 16 años (013)",1426,1406,20
"De 17 a 24 años (014)",1327,1291,36
,,,
"URBANA (015)",8000,6640,1360
"De 3 a 5 años (016)",1142,116,1026
"De 6 a 11 años (017)",2527,2244,283
"De 12 a 16 años (018)",2274,2260,14
"De 17 a 24 años (019)",2057,2020,37
"Hombres (020)",4072,3375,697
"De 3 a 5 años (021)",574,52,522
"De 6 a 11 años (022)",1265,1112,153
"De 12 a 16 años (023)",1159,1154,5
"De 17 a 24 años (024)",1074,1057,17
"Mujeres (025)",3928,3265,663
"De 3 a 5 años (026)",568,64,504
"De 6 a 11 años (027)",1262,1132,130
"De 12 a 16 años (028)",1115,1106,9
"De 17 a 24 años (029)",983,963,20
,,,
"RURAL (030)",2668,2052,616
"De 3 a 5 años (031)",466,31,435
"De 6 a 11 años (032)",905,762,143
"De 12 a 16 años (033)",639,624,15
"De 17 a 24 años (034)",658,635,23
"Hombres (035)",1332,1025,307
"De 3 a 5 años (036)",235,11,224
"De 6 a 11 años (037)",455,383,72
"De 12 a 16 años (038)",328,324,4
"De 17 a 24 años (039)",314,307,7
"Mujeres (040)",1336,1027,309
"De 3 a 5 años (041)",231,20,211
"De 6 a 11 años (042)",450,379,71
"De 12 a 16 años (043)",311,300,11
"De 17 a 24 años (044)",344,328,16
