"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VILCAS HUAMAN (000)",5937,4920,591,154,272
"Empleado (001)",774,240,239,92,203
"Obrero (002)",1041,740,178,54,69
"Trabajador independiente (003)",2926,2817,109,,
"Empleador o patrono (004)",34,25,4,5,
"Trabajador familiar no remunerado (005)",1130,1066,61,3,
"Trabajador del hogar (006)",32,32,,,
"De 06 a 14 años (008)",165,154,10,1,
"Empleado (009)",4,3,1,,
"Obrero (010)",20,17,2,1,
"Trabajador independiente (011)",11,11,,,
"Trabajador familiar no remunerado (013)",127,120,7,,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",1556,1297,167,34,58
"Empleado (017)",144,55,44,10,35
"Obrero (018)",346,236,67,20,23
"Trabajador independiente (019)",649,614,35,,
"Empleador o patrono (020)",13,10,,3,
"Trabajador familiar no remunerado (021)",387,365,21,1,
"Trabajador del hogar (022)",17,17,,,
"De 30 a 44 años (024)",2047,1590,238,69,150
"Empleado (025)",374,104,104,47,119
"Obrero (026)",371,258,63,19,31
"Trabajador independiente (027)",1022,972,50,,
"Empleador o patrono (028)",10,6,3,1,
"Trabajador familiar no remunerado (029)",265,245,18,2,
"Trabajador del hogar (030)",5,5,,,
"De 45 a 64 años (032)",1425,1170,151,48,56
"Empleado (033)",239,74,86,35,44
"Obrero (034)",223,162,36,13,12
"Trabajador independiente (035)",736,717,19,,
"Empleador o patrono (036)",4,4,,,
"Trabajador familiar no remunerado (037)",218,208,10,,
"Trabajador del hogar (038)",5,5,,,
"De 65 y más años (040)",744,709,25,2,8
"Empleado (041)",13,4,4,,5
"Obrero (042)",81,67,10,1,3
"Trabajador independiente (043)",508,503,5,,
"Empleador o patrono (044)",7,5,1,1,
"Trabajador familiar no remunerado (045)",133,128,5,,
"Trabajador del hogar (046)",2,2,,,
,,,,,
"URBANA (048)",2205,1572,332,105,196
"Empleado (049)",581,147,183,81,170
"Obrero (050)",344,229,69,20,26
"Trabajador independiente (051)",991,931,60,,
"Empleador o patrono (052)",12,8,3,1,
"Trabajador familiar no remunerado (053)",259,239,17,3,
"Trabajador del hogar (054)",18,18,,,
"De 06 a 14 años (056)",49,47,2,,
"Empleado (057)",4,3,1,,
"Obrero (058)",4,4,,,
