"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PASCO (000)",300,283,17
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",40,40,
"Casa pensión (003)",26,25,1
"Hospital, clinica (004)",19,19,
"Cárcel, centro de readaptación social (005)",2,2,
"Aldea infantil, orfelinato, etc (007)",3,3,
"Otro (008)",175,167,8
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",35,27,8
